NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,0,0,0,0,,,,,,,,,1,1,61.49664209999901,None,['2'],1,[2.499125999995158],61.49664209999901,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,0,1,1,1,,,,,,,,,1,1,64.0804061999952,None,['1'],1,[0.4973431999969762],64.0804061999952,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,0,2,2,2,,,,,,,,,1,1,64.64951529999962,None,['3'],1,[0.6563472999987425],64.64951529999962,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,0,3,3,3,,,,,,,,,1,1,65.37869509999291,None,['1'],1,[0.47657149999577086],65.37869509999291,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,0,4,4,4,,,,,,,,,1,1,65.94128459999047,None,['3'],1,[0.35466709999309387],65.94128459999047,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,0,5,5,5,,,,,,,,,1,1,66.3785288999934,None,['1'],1,[0.29110109999601264],66.3785288999934,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,0,6,6,6,,,,,,,,,1,1,66.73990699999558,None,['3'],1,[0.36139259999617934],66.73990699999558,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,0,7,7,7,,,,,,,,,1,1,67.17719619999116,None,['1'],1,[0.3151771999982884],67.17719619999116,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,0,8,8,8,,,,,,,,,1,1,67.56615050000255,None,['2'],1,[0.19372420001309365],67.56615050000255,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,0,9,9,9,,,,,,,,,1,1,67.83009639999364,None,['3'],1,[0.27159990000654943],67.83009639999364,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
