NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,0,0,0,0,,,,,,,,,1,1,15.287466899986612,None,['2'],1,[1.712948200001847],15.287466899986612,None,,001,2022_Apr_29_1020,TMT_practice,2021.2.3,146.86703245037344,
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,0,1,1,1,,,,,,,,,4,0,17.093215900007635,None,"['3', '2', '3', '1']",1,"[0.15752310000243597, 0.4318073999893386, 0.6432375000149477, 0.7431333000131417]",17.093215900007635,None,,001,2022_Apr_29_1020,TMT_practice,2021.2.3,146.86703245037344,
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,0,2,2,2,,,,,,,,,2,0,17.976139599981252,None,"['1', '3']",1,"[0.16454050000174902, 0.34082369998213835]",17.976139599981252,None,,001,2022_Apr_29_1020,TMT_practice,2021.2.3,146.86703245037344,
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,0,3,3,3,,,,,,,,,2,0,18.51667529999395,None,"['2', '1']",1,"[-0.03373500000452623, 0.07551269998657517]",18.51667529999395,None,,001,2022_Apr_29_1020,TMT_practice,2021.2.3,146.86703245037344,
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,0,4,4,4,,,,,,,,,1,1,18.725445999996737,None,['3'],1,[0.03212150000035763],18.725445999996737,None,,001,2022_Apr_29_1020,TMT_practice,2021.2.3,146.86703245037344,
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,0,5,5,5,,,,,,,,,2,0,18.892607399990084,None,"['2', '1']",1,"[-0.10423179998178966, 0.05593689999659546]",18.892607399990084,None,,001,2022_Apr_29_1020,TMT_practice,2021.2.3,146.86703245037344,
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,0,6,6,6,,,,,,,,,1,1,19.06717209998169,None,['3'],1,[0.0335493000166025],19.06717209998169,None,,001,2022_Apr_29_1020,TMT_practice,2021.2.3,146.86703245037344,
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,0,7,7,7,,,,,,,,,2,0,19.190415699995356,None,"['2', '1']",1,"[-0.06607170001370832, 0.09298560000024736]",19.190415699995356,None,,001,2022_Apr_29_1020,TMT_practice,2021.2.3,146.86703245037344,
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,0,8,8,8,,,,,,,,,2,0,19.39173760000267,None,"['3', '2']",1,"[0.04881099998601712, 0.06415769999148324]",19.39173760000267,None,,001,2022_Apr_29_1020,TMT_practice,2021.2.3,146.86703245037344,
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,0,9,9,9,,,,,,,,,5,0,19.586022599978605,None,"['1', '3', '2', '1', '3']",1,"[0.027490800013765693, 0.17221479999716394, 0.18327159999171272, 0.3726228000014089, 0.5020364999945741]",19.586022599978605,None,,001,2022_Apr_29_1020,TMT_practice,2021.2.3,146.86703245037344,
