NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,0,0,0,0,,,,,,,,,1,1,93.23109469999326,None,['2'],1,[34.36409790001926],93.23109469999326,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,0,1,1,1,,,,,,,,,1,1,127.77546750000329,None,['1'],1,[0.8729137999762315],127.77546750000329,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,0,2,2,2,,,,,,,,,1,1,128.74529849999817,None,['3'],1,[1.115422300004866],128.74529849999817,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,0,3,3,3,,,,,,,,,1,1,129.95331949999672,None,['1'],1,[1.7043725999828894],129.95331949999672,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,0,4,4,4,,,,,,,,,1,1,131.73841510000057,None,['3'],1,[4.109818299999461],131.73841510000057,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,0,5,5,5,,,,,,,,,1,1,135.93927990001976,None,['1'],1,[2.6919236999819987],135.93927990001976,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,0,6,6,6,,,,,,,,,2,0,138.71701019999455,None,"['1', '3']",1,"[1.8697355999902356, 8.028426900011254]",138.71701019999455,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,0,7,7,7,,,,,,,,,1,1,146.89737380002043,None,['1'],1,[1.1854789000062738],146.89737380002043,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,0,8,8,8,,,,,,,,,1,1,148.17654720001156,None,['2'],1,[0.8850745999952778],148.17654720001156,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,0,9,9,9,,,,,,,,,1,1,149.16136280001956,None,['3'],1,[0.7269780000206083],149.16136280001956,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
11,['2'],2,TMTstop-control_1_plinestimulus8.png,TMTstop-control_1_pgreenlinestimulus8.png,TMTstop-control_1_predlinestimulus8.png,10,0,10,10,10,,,,,,,,,1,1,149.98743450001348,None,['2'],1,[0.9361957000219263],149.98743450001348,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
12,['3'],3,TMTstop-control_1_plinestimulus9.png,TMTstop-control_1_pgreenlinestimulus9.png,TMTstop-control_1_predlinestimulus9.png,10,0,11,11,11,,,,,,,,,1,1,151.05994940001983,None,['3'],1,[0.7085490000026766],151.05994940001983,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
13,['1'],1,TMTstop-control_1_plinestimulus10.png,TMTstop-control_1_pgreenlinestimulus10.png,TMTstop-control_1_predlinestimulus10.png,1,0,12,12,12,,,,,,,,,1,1,151.87179209999158,None,['1'],1,[0.6081563000043388],151.87179209999158,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
14,['2'],2,TMTstop-control_1_plinestimulus11.png,TMTstop-control_1_pgreenlinestimulus11.png,TMTstop-control_1_predlinestimulus11.png,None,0,13,13,13,,,,,,,,,1,1,152.58078670001123,None,['2'],1,[0.7781237000017427],152.58078670001123,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
15,['3'],3,TMTstop-control_1_plinestimulus12.png,TMTstop-control_1_pgreenlinestimulus12.png,TMTstop-control_1_predlinestimulus12.png,None,0,14,14,14,,,,,,,,,1,1,153.47748550001415,None,['3'],1,[0.5883767000050284],153.47748550001415,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
16,['1'],1,TMTstop-control_1_plinestimulus13.png,TMTstop-control_1_pgreenlinestimulus13.png,TMTstop-control_1_predlinestimulus13.png,None,0,15,15,15,,,,,,,,,1,1,154.18538500001887,None,['1'],1,[0.5426643000100739],154.18538500001887,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
17,['3'],3,TMTstop-control_1_plinestimulus14.png,TMTstop-control_1_pgreenlinestimulus14.png,TMTstop-control_1_predlinestimulus14.png,None,0,16,16,16,,,,,,,,,1,1,154.82798990001902,None,['3'],1,[0.5469825000036508],154.82798990001902,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
18,['1'],1,TMTstop-control_1_plinestimulus15.png,TMTstop-control_1_pgreenlinestimulus15.png,TMTstop-control_1_predlinestimulus15.png,None,0,17,17,17,,,,,,,,,1,1,155.46641480000108,None,['1'],1,[0.5945989000028931],155.46641480000108,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
19,['3'],3,TMTstop-control_1_plinestimulus16.png,TMTstop-control_1_pgreenlinestimulus16.png,TMTstop-control_1_predlinestimulus16.png,None,0,18,18,18,,,,,,,,,1,1,156.14716530000442,None,['3'],1,[1.1445680999895558],156.14716530000442,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
20,['2'],2,TMTstop-control_1_plinestimulus17.png,TMTstop-control_1_pgreenlinestimulus17.png,TMTstop-control_1_predlinestimulus17.png,None,0,19,19,19,,,,,,,,,1,1,157.36959270000807,None,['2'],1,[0.5606277999759186],157.36959270000807,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
