NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['3'],3,TMTstop-A_1_p.png,TMTstop-A_1_p.png,TMTstop-A_1_p.png,10,1.0,180.88893127441406,180.88893127441406,0.0,,1.0,1.0,0.0,1,3,-0.5705277999804821,1.5821976000152063,180.88893127441406,180.88893127441406,0.0,,0.0
2,['1'],1,TMTstop-A_1_p.png,TMTstop-A_1_pfirstgreen.png,TMTstop-A_1_pfirstred.png,10,1.0,182.61927795410156,182.61927795410156,0.0,,1.0,1.0,0.0,1,5.2163208999845665,182.61927795410156,182.61927795410156,0.0,,1.0
3,['2'],2,TMTstop-A_1_plinestimulus0.png,TMTstop-A_1_pgreenlinestimulus0.png,TMTstop-A_1_predlinestimulus0.png,10,1.0,187.91847229003906,187.91847229003906,0.0,,1.0,1.0,0.0,2,5.94487599999411,187.91847229003906,187.91847229003906,0.0,,2.0
4,['1'],1,TMTstop-A_1_plinestimulus1.png,TMTstop-A_1_pgreenlinestimulus1.png,TMTstop-A_1_predlinestimulus1.png,10,1.0,193.95883178710938,193.95883178710938,0.0,,1.0,1.0,0.0,1,1.4506958000129089,193.95883178710938,193.95883178710938,0.0,,3.0
5,['2'],2,TMTstop-A_1_plinestimulus2.png,TMTstop-A_1_pgreenlinestimulus2.png,TMTstop-A_1_predlinestimulus2.png,10,1.0,195.5086212158203,195.5086212158203,0.0,,1.0,1.0,0.0,2,1.0034833999816328,195.5086212158203,195.5086212158203,0.0,,4.0
6,['1'],1,TMTstop-A_1_plinestimulus3.png,TMTstop-A_1_pgreenlinestimulus3.png,TMTstop-A_1_predlinestimulus3.png,10,1.0,196.60513305664062,196.60513305664062,0.0,,1.0,1.0,0.0,1,0.7680484000011347,196.60513305664062,196.60513305664062,0.0,,5.0
7,['2'],2,TMTstop-A_1_plinestimulus4.png,TMTstop-A_1_pgreenlinestimulus4.png,TMTstop-A_1_predlinestimulus4.png,10,1.0,197.4584503173828,197.4584503173828,0.0,,1.0,1.0,0.0,2,1.9363402999879327,197.4584503173828,197.4584503173828,0.0,,6.0
8,['1'],1,TMTstop-A_1_plinestimulus5.png,TMTstop-A_1_pgreenlinestimulus5.png,TMTstop-A_1_predlinestimulus5.png,10,1.0,199.48143005371094,199.48143005371094,0.0,,1.0,1.0,0.0,1,1.83468269999139,199.48143005371094,199.48143005371094,0.0,,7.0
9,['2'],2,TMTstop-A_1_plinestimulus6.png,TMTstop-A_1_pgreenlinestimulus6.png,TMTstop-A_1_predlinestimulus6.png,10,1.0,201.40321350097656,201.40321350097656,0.0,,1.0,1.0,0.0,2,0.8827472999983002,201.40321350097656,201.40321350097656,0.0,,8.0
10,['1'],1,TMTstop-A_1_plinestimulus7.png,TMTstop-A_1_pgreenlinestimulus7.png,TMTstop-A_1_predlinestimulus7.png,10,1.0,202.37527465820312,202.37527465820312,0.0,,1.0,1.0,0.0,1,5.724768100015353,202.37527465820312,202.37527465820312,0.0,,9.0
11,['2'],2,TMTstop-A_1_plinestimulus8.png,TMTstop-A_1_pgreenlinestimulus8.png,TMTstop-A_1_predlinestimulus8.png,10,1.0,208.18038940429688,208.18038940429688,0.0,,1.0,1.0,0.0,2,1.4013542000029702,208.18038940429688,208.18038940429688,0.0,,10.0
12,['1'],1,TMTstop-A_1_plinestimulus9.png,TMTstop-A_1_pgreenlinestimulus9.png,TMTstop-A_1_predlinestimulus9.png,10,1.0,209.66770935058594,209.66770935058594,0.0,,1.0,1.0,0.0,1,0.6541313999914564,209.66770935058594,209.66770935058594,0.0,,11.0
13,['2'],2,TMTstop-A_1_plinestimulus10.png,TMTstop-A_1_pgreenlinestimulus10.png,TMTstop-A_1_predlinestimulus10.png,1,1.0,210.41627502441406,210.41627502441406,0.0,,1.0,1.0,0.0,2,1.0938717999961227,210.41627502441406,210.41627502441406,0.0,,12.0
14,['3'],3,TMTstop-A_1_plinestimulus11.png,TMTstop-A_1_pgreenlinestimulus11.png,TMTstop-A_1_predlinestimulus11.png,None,1.0,211.5973663330078,211.5973663330078,0.0,,1.0,1.0,0.0,3,0.5793992000108119,211.5973663330078,211.5973663330078,0.0,,13.0
15,['1'],1,TMTstop-A_1_plinestimulus12.png,TMTstop-A_1_pgreenlinestimulus12.png,TMTstop-A_1_predlinestimulus12.png,None,1.0,212.2652587890625,212.2652587890625,0.0,,1.0,1.0,0.0,1,0.6271823999995831,212.2652587890625,212.2652587890625,0.0,,14.0
16,['3'],3,TMTstop-A_1_plinestimulus13.png,TMTstop-A_1_pgreenlinestimulus13.png,TMTstop-A_1_predlinestimulus13.png,None,1.0,212.98602294921875,212.98602294921875,0.0,,1.0,1.0,0.0,3,0.6103393000084907,212.98602294921875,212.98602294921875,0.0,,15.0
17,['1'],1,TMTstop-A_1_plinestimulus14.png,TMTstop-A_1_pgreenlinestimulus14.png,TMTstop-A_1_predlinestimulus14.png,None,1.0,213.67440795898438,213.67440795898438,0.0,,1.0,1.0,0.0,1,0.29157140001188964,213.67440795898438,213.67440795898438,0.0,,16.0
