NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['3'],3,TMTstop-B_1_p.png,TMTstop-B_1_p.png,TMTstop-B_1_p.png,10,1.0,235.17970275878906,235.17970275878906,0.0,,1.0,1.0,0.0,3,8.471155299979728,235.17970275878906,235.17970275878906,0.0,,0.0
A,['1'],1,TMTstop-B_1_p.png,TMTstop-B_1_pfirstgreen.png,TMTstop-B_1_pfirstred.png,10,1.0,243.8326416015625,243.8326416015625,0.0,,1.0,1.0,0.0,1,0.8725873000221327,243.8326416015625,243.8326416015625,0.0,,1.0
2,['2'],2,TMTstop-B_1_plinestimulus0.png,TMTstop-B_1_pgreenlinestimulus0.png,TMTstop-B_1_predlinestimulus0.png,10,1.0,244.81329345703125,244.81329345703125,0.0,,1.0,1.0,0.0,2,0.8382940000155941,244.81329345703125,244.81329345703125,0.0,,2.0
B,['3'],3,TMTstop-B_1_plinestimulus1.png,TMTstop-B_1_pgreenlinestimulus1.png,TMTstop-B_1_predlinestimulus1.png,10,1.0,245.7417755126953,245.7417755126953,0.0,,1.0,1.0,0.0,3,0.6233930999878794,245.7417755126953,245.7417755126953,0.0,,3.0
3,['1'],1,TMTstop-B_1_plinestimulus2.png,TMTstop-B_1_pgreenlinestimulus2.png,TMTstop-B_1_predlinestimulus2.png,10,1.0,246.44366455078125,246.44366455078125,0.0,,1.0,1.0,0.0,1,1.194864699995378,246.44366455078125,246.44366455078125,0.0,,4.0
C,['3'],3,TMTstop-B_1_plinestimulus3.png,TMTstop-B_1_pgreenlinestimulus3.png,TMTstop-B_1_predlinestimulus3.png,10,1.0,247.72125244140625,247.72125244140625,0.0,,1.0,1.0,0.0,3,0.6187493999896105,247.72125244140625,247.72125244140625,0.0,,5.0
4,['1'],1,TMTstop-B_1_plinestimulus4.png,TMTstop-B_1_pgreenlinestimulus4.png,TMTstop-B_1_predlinestimulus4.png,10,1.0,248.42245483398438,248.42245483398438,0.0,,1.0,1.0,0.0,1,5.495339400018565,248.42245483398438,248.42245483398438,0.0,,6.0
D,['3'],3,TMTstop-B_1_plinestimulus5.png,TMTstop-B_1_pgreenlinestimulus5.png,TMTstop-B_1_predlinestimulus5.png,10,1.0,254.00550842285156,254.00550842285156,0.0,,1.0,1.0,0.0,3,3.0632594999915455,254.00550842285156,254.00550842285156,0.0,,7.0
5,['2'],2,TMTstop-B_1_plinestimulus6.png,TMTstop-B_1_pgreenlinestimulus6.png,TMTstop-B_1_predlinestimulus6.png,10,1.0,257.1515808105469,257.1515808105469,0.0,,1.0,1.0,0.0,2,2.636612200003583,257.1515808105469,257.1515808105469,0.0,,8.0
E,['1'],1,TMTstop-B_1_plinestimulus7.png,TMTstop-B_1_pgreenlinestimulus7.png,TMTstop-B_1_predlinestimulus7.png,10,1.0,259.8737487792969,259.8737487792969,0.0,,1.0,1.0,0.0,1,1.6327632000029553,259.8737487792969,259.8737487792969,0.0,,9.0
6,['3'],3,TMTstop-B_1_plinestimulus8.png,TMTstop-B_1_pgreenlinestimulus8.png,TMTstop-B_1_predlinestimulus8.png,10,1.0,261.59576416015625,261.59576416015625,0.0,,1.0,1.0,0.0,3,1.6752454999950714,261.59576416015625,261.59576416015625,0.0,,10.0
F,['1'],1,TMTstop-B_1_plinestimulus9.png,TMTstop-B_1_pgreenlinestimulus9.png,TMTstop-B_1_predlinestimulus9.png,10,1.0,263.4117431640625,263.4117431640625,0.0,,1.0,1.0,0.0,1,0.9875208000012208,263.4117431640625,263.4117431640625,0.0,,11.0
7,['3'],3,TMTstop-B_1_plinestimulus10.png,TMTstop-B_1_pgreenlinestimulus10.png,TMTstop-B_1_predlinestimulus10.png,1,1.0,264.4867858886719,264.4867858886719,0.0,,1.0,1.0,0.0,3,1.1452289000153542,264.4867858886719,264.4867858886719,0.0,,12.0
G,['1'],1,TMTstop-B_1_plinestimulus11.png,TMTstop-B_1_pgreenlinestimulus11.png,TMTstop-B_1_predlinestimulus11.png,None,1.0,265.72100830078125,265.72100830078125,0.0,,1.0,1.0,0.0,1,0.9873648000066169,265.72100830078125,265.72100830078125,0.0,,13.0
8,['2'],2,TMTstop-B_1_plinestimulus12.png,TMTstop-B_1_pgreenlinestimulus12.png,TMTstop-B_1_predlinestimulus12.png,None,1.0,266.79705810546875,266.79705810546875,0.0,,1.0,1.0,0.0,3,2,1.4480842000048142,2.217376200016588,266.79705810546875,266.79705810546875,0.0,,14.0
H,['3'],3,TMTstop-B_1_plinestimulus13.png,TMTstop-B_1_pgreenlinestimulus13.png,TMTstop-B_1_predlinestimulus13.png,None,1.0,269.1810302734375,269.1810302734375,0.0,,1.0,1.0,0.0,3,3.3200998999818694,269.1810302734375,269.1810302734375,0.0,,15.0
9,['2'],2,TMTstop-B_1_plinestimulus14.png,TMTstop-B_1_pgreenlinestimulus14.png,TMTstop-B_1_predlinestimulus14.png,None,1.0,272.58929443359375,272.58929443359375,0.0,,1.0,1.0,0.0,2,0.9660664000257384,272.58929443359375,272.58929443359375,0.0,,16.0
I,['3'],3,TMTstop-B_1_plinestimulus15.png,TMTstop-B_1_pgreenlinestimulus15.png,TMTstop-B_1_predlinestimulus15.png,None,1.0,273.6606750488281,273.6606750488281,0.0,,1.0,1.0,0.0,3,2.994174799998291,273.6606750488281,273.6606750488281,0.0,,17.0
10,['1'],1,TMTstop-B_1_plinestimulus16.png,TMTstop-B_1_pgreenlinestimulus16.png,TMTstop-B_1_predlinestimulus16.png,None,1.0,276.7497863769531,276.7497863769531,0.0,,1.0,1.0,0.0,1,1.92086919999565,276.7497863769531,276.7497863769531,0.0,,18.0
J,['3'],3,TMTstop-B_1_plinestimulus17.png,TMTstop-B_1_pgreenlinestimulus17.png,TMTstop-B_1_predlinestimulus17.png,None,1.0,278.7489013671875,278.7489013671875,0.0,,1.0,1.0,0.0,3,1.4221019999822602,278.7489013671875,278.7489013671875,0.0,,19.0
11,['1'],1,TMTstop-B_1_plinestimulus18.png,TMTstop-B_1_pgreenlinestimulus18.png,TMTstop-B_1_predlinestimulus18.png,None,1.0,280.2635498046875,280.2635498046875,0.0,,1.0,1.0,0.0,1,1.4884349000058137,280.2635498046875,280.2635498046875,0.0,,20.0
K,['3'],3,TMTstop-B_1_plinestimulus19.png,TMTstop-B_1_pgreenlinestimulus19.png,TMTstop-B_1_predlinestimulus19.png,None,1.0,281.8382568359375,281.8382568359375,0.0,,1.0,1.0,0.0,3,2.1782185999909416,281.8382568359375,281.8382568359375,0.0,,21.0
12,['1'],1,TMTstop-B_1_plinestimulus20.png,TMTstop-B_1_pgreenlinestimulus20.png,TMTstop-B_1_predlinestimulus20.png,None,1.0,284.11029052734375,284.11029052734375,0.0,,1.0,1.0,0.0,1,1.4441808999981731,284.11029052734375,284.11029052734375,0.0,,22.0
L,['2'],2,TMTstop-B_1_plinestimulus21.png,TMTstop-B_1_pgreenlinestimulus21.png,TMTstop-B_1_predlinestimulus21.png,None,1.0,285.65911865234375,285.65911865234375,0.0,,1.0,1.0,0.0,2,4.697611300012795,285.65911865234375,285.65911865234375,0.0,,23.0
13,['3'],3,TMTstop-B_1_plinestimulus22.png,TMTstop-B_1_pgreenlinestimulus22.png,TMTstop-B_1_predlinestimulus22.png,None,1.0,290.49249267578125,290.49249267578125,0.0,,1.0,1.0,0.0,3,1.3690877000044566,290.49249267578125,290.49249267578125,0.0,,24.0
None,None,None,TMTstop-B_1_plinestimulus23.png,TMTstop-B_1_pgreenlinestimulus23.png,TMTstop-B_1_predlinestimulus23.png,None,1.0,291.9707946777344,291.9707946777344,0.0,,1.0,1.0,0.0,,'--',291.9707946777344,291.9707946777344,0.0,,25.0

extraInfo
participant,
session,001
date,2022_Apr_29_1103
expName,TMT_practice
psychopyVersion,2021.2.3
frameRate,141.50436120379786
