NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,0,0,0,0,,,,,1,1,190.05985990000045,None,['2'],1,[2.436606800001755],190.05985990000045,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,0,1,1,1,,,,,1,1,192.60314769999968,None,['1'],1,[0.9518759999991744],192.60314769999968,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,0,2,2,2,,,,,1,1,193.646974700001,None,['3'],1,[0.5207276999935857],193.646974700001,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,0,3,3,3,,,,,1,1,194.25596740000037,None,['1'],1,[1.4840093000020715],194.25596740000037,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,0,4,4,4,,,,,1,1,195.818239799999,None,['3'],1,[0.5171907999974792],195.818239799999,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,0,5,5,5,,,,,1,1,196.42715039999894,None,['1'],1,[0.4278857000026619],196.42715039999894,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,0,6,6,6,,,,,1,1,196.94606170000043,None,['3'],1,[0.4610047999958624],196.94606170000043,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,0,7,7,7,,,,,1,1,197.4949972999966,None,['1'],1,[0.6305044999971869],197.4949972999966,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,0,8,8,8,,,,,1,1,198.21832559999893,None,['2'],1,[0.40940299999783747],198.21832559999893,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,0,9,9,9,,,,,1,1,198.72748899999715,None,['3'],1,[0.44263689999934286],198.72748899999715,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
11,['2'],2,TMTstop-control_1_plinestimulus8.png,TMTstop-control_1_pgreenlinestimulus8.png,TMTstop-control_1_predlinestimulus8.png,10,0,10,10,10,,,,,1,1,199.25904340000125,None,['2'],1,[0.797316399999545],199.25904340000125,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
12,['3'],3,TMTstop-control_1_plinestimulus9.png,TMTstop-control_1_pgreenlinestimulus9.png,TMTstop-control_1_predlinestimulus9.png,10,0,11,11,11,,,,,1,1,200.13512410000112,None,['3'],1,[0.4398012000019662],200.13512410000112,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
13,['1'],1,TMTstop-control_1_plinestimulus10.png,TMTstop-control_1_pgreenlinestimulus10.png,TMTstop-control_1_predlinestimulus10.png,1,0,12,12,12,,,,,1,1,200.66251570000168,None,['1'],1,[0.44106960000499384],200.66251570000168,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
14,['2'],2,TMTstop-control_1_plinestimulus11.png,TMTstop-control_1_pgreenlinestimulus11.png,TMTstop-control_1_predlinestimulus11.png,None,0,13,13,13,,,,,1,1,201.19660889999795,None,['2'],1,[0.2495347000003676],201.19660889999795,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
15,['3'],3,TMTstop-control_1_plinestimulus12.png,TMTstop-control_1_pgreenlinestimulus12.png,TMTstop-control_1_predlinestimulus12.png,None,0,14,14,14,,,,,1,1,201.56193789999816,None,['3'],1,[0.33325540000078036],201.56193789999816,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
16,['1'],1,TMTstop-control_1_plinestimulus13.png,TMTstop-control_1_pgreenlinestimulus13.png,TMTstop-control_1_predlinestimulus13.png,None,0,15,15,15,,,,,1,1,201.9993392999968,None,['1'],1,[0.28025600000546547],201.9993392999968,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
17,['3'],3,TMTstop-control_1_plinestimulus14.png,TMTstop-control_1_pgreenlinestimulus14.png,TMTstop-control_1_predlinestimulus14.png,None,0,16,16,16,,,,,1,1,202.35822879999614,None,['3'],1,[0.313581599999452],202.35822879999614,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
18,['1'],1,TMTstop-control_1_plinestimulus15.png,TMTstop-control_1_pgreenlinestimulus15.png,TMTstop-control_1_predlinestimulus15.png,None,0,17,17,17,,,,,1,1,202.75815339999826,None,['1'],1,[0.2853423000051407],202.75815339999826,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
19,['3'],3,TMTstop-control_1_plinestimulus16.png,TMTstop-control_1_pgreenlinestimulus16.png,TMTstop-control_1_predlinestimulus16.png,None,0,18,18,18,,,,,1,1,203.13411439999618,None,['3'],1,[0.26984839999931864],203.13411439999618,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
20,['2'],2,TMTstop-control_1_plinestimulus17.png,TMTstop-control_1_pgreenlinestimulus17.png,TMTstop-control_1_predlinestimulus17.png,None,0,19,19,19,,,,,1,1,203.4935125999982,None,['2'],1,[0.2910399000029429],203.4935125999982,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
21,['1'],1,TMTstop-control_1_plinestimulus18.png,TMTstop-control_1_pgreenlinestimulus18.png,TMTstop-control_1_predlinestimulus18.png,None,0,20,20,20,,,,,1,1,203.88102100000106,None,['1'],1,[0.2652241000032518],203.88102100000106,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
22,['3'],3,TMTstop-control_1_plinestimulus19.png,TMTstop-control_1_pgreenlinestimulus19.png,TMTstop-control_1_predlinestimulus19.png,None,0,21,21,21,,,,,1,1,204.23246059999656,None,['3'],1,[0.3539350999999442],204.23246059999656,None,,001,2022_May_23_1358,TMT_practice,2021.2.3,150.52170822896588,
