NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,1.0,190.0598602294922,190.0598602294922,0.0,,1.0,1.0,0.0,2,2.436606800001755,190.0598602294922,190.0598602294922,0.0,,0.0
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,1.0,192.6031494140625,192.6031494140625,0.0,,1.0,1.0,0.0,1,0.9518759999991744,192.6031494140625,192.6031494140625,0.0,,1.0
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,1.0,193.64697265625,193.64697265625,0.0,,1.0,1.0,0.0,3,0.5207276999935857,193.64697265625,193.64697265625,0.0,,2.0
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,1.0,194.25596618652344,194.25596618652344,0.0,,1.0,1.0,0.0,1,1.4840093000020715,194.25596618652344,194.25596618652344,0.0,,3.0
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,1.0,195.8182373046875,195.8182373046875,0.0,,1.0,1.0,0.0,3,0.5171907999974792,195.8182373046875,195.8182373046875,0.0,,4.0
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,1.0,196.42715454101562,196.42715454101562,0.0,,1.0,1.0,0.0,1,0.4278857000026619,196.42715454101562,196.42715454101562,0.0,,5.0
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,1.0,196.94606018066406,196.94606018066406,0.0,,1.0,1.0,0.0,3,0.4610047999958624,196.94606018066406,196.94606018066406,0.0,,6.0
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,1.0,197.4949951171875,197.4949951171875,0.0,,1.0,1.0,0.0,1,0.6305044999971869,197.4949951171875,197.4949951171875,0.0,,7.0
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,1.0,198.21832275390625,198.21832275390625,0.0,,1.0,1.0,0.0,2,0.40940299999783747,198.21832275390625,198.21832275390625,0.0,,8.0
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,1.0,198.7274932861328,198.7274932861328,0.0,,1.0,1.0,0.0,3,0.44263689999934286,198.7274932861328,198.7274932861328,0.0,,9.0
11,['2'],2,TMTstop-control_1_plinestimulus8.png,TMTstop-control_1_pgreenlinestimulus8.png,TMTstop-control_1_predlinestimulus8.png,10,1.0,199.25904846191406,199.25904846191406,0.0,,1.0,1.0,0.0,2,0.797316399999545,199.25904846191406,199.25904846191406,0.0,,10.0
12,['3'],3,TMTstop-control_1_plinestimulus9.png,TMTstop-control_1_pgreenlinestimulus9.png,TMTstop-control_1_predlinestimulus9.png,10,1.0,200.13511657714844,200.13511657714844,0.0,,1.0,1.0,0.0,3,0.4398012000019662,200.13511657714844,200.13511657714844,0.0,,11.0
13,['1'],1,TMTstop-control_1_plinestimulus10.png,TMTstop-control_1_pgreenlinestimulus10.png,TMTstop-control_1_predlinestimulus10.png,1,1.0,200.6625213623047,200.6625213623047,0.0,,1.0,1.0,0.0,1,0.44106960000499384,200.6625213623047,200.6625213623047,0.0,,12.0
14,['2'],2,TMTstop-control_1_plinestimulus11.png,TMTstop-control_1_pgreenlinestimulus11.png,TMTstop-control_1_predlinestimulus11.png,None,1.0,201.1966094970703,201.1966094970703,0.0,,1.0,1.0,0.0,2,0.2495347000003676,201.1966094970703,201.1966094970703,0.0,,13.0
15,['3'],3,TMTstop-control_1_plinestimulus12.png,TMTstop-control_1_pgreenlinestimulus12.png,TMTstop-control_1_predlinestimulus12.png,None,1.0,201.5619354248047,201.5619354248047,0.0,,1.0,1.0,0.0,3,0.33325540000078036,201.5619354248047,201.5619354248047,0.0,,14.0
16,['1'],1,TMTstop-control_1_plinestimulus13.png,TMTstop-control_1_pgreenlinestimulus13.png,TMTstop-control_1_predlinestimulus13.png,None,1.0,201.9993438720703,201.9993438720703,0.0,,1.0,1.0,0.0,1,0.28025600000546547,201.9993438720703,201.9993438720703,0.0,,15.0
17,['3'],3,TMTstop-control_1_plinestimulus14.png,TMTstop-control_1_pgreenlinestimulus14.png,TMTstop-control_1_predlinestimulus14.png,None,1.0,202.3582305908203,202.3582305908203,0.0,,1.0,1.0,0.0,3,0.313581599999452,202.3582305908203,202.3582305908203,0.0,,16.0
18,['1'],1,TMTstop-control_1_plinestimulus15.png,TMTstop-control_1_pgreenlinestimulus15.png,TMTstop-control_1_predlinestimulus15.png,None,1.0,202.75814819335938,202.75814819335938,0.0,,1.0,1.0,0.0,1,0.2853423000051407,202.75814819335938,202.75814819335938,0.0,,17.0
19,['3'],3,TMTstop-control_1_plinestimulus16.png,TMTstop-control_1_pgreenlinestimulus16.png,TMTstop-control_1_predlinestimulus16.png,None,1.0,203.1341094970703,203.1341094970703,0.0,,1.0,1.0,0.0,3,0.26984839999931864,203.1341094970703,203.1341094970703,0.0,,18.0
20,['2'],2,TMTstop-control_1_plinestimulus17.png,TMTstop-control_1_pgreenlinestimulus17.png,TMTstop-control_1_predlinestimulus17.png,None,1.0,203.49351501464844,203.49351501464844,0.0,,1.0,1.0,0.0,2,0.2910399000029429,203.49351501464844,203.49351501464844,0.0,,19.0
21,['1'],1,TMTstop-control_1_plinestimulus18.png,TMTstop-control_1_pgreenlinestimulus18.png,TMTstop-control_1_predlinestimulus18.png,None,1.0,203.8810272216797,203.8810272216797,0.0,,1.0,1.0,0.0,1,0.2652241000032518,203.8810272216797,203.8810272216797,0.0,,20.0
22,['3'],3,TMTstop-control_1_plinestimulus19.png,TMTstop-control_1_pgreenlinestimulus19.png,TMTstop-control_1_predlinestimulus19.png,None,1.0,204.2324676513672,204.2324676513672,0.0,,1.0,1.0,0.0,3,0.3539350999999442,204.2324676513672,204.2324676513672,0.0,,21.0
23,['2'],2,TMTstop-control_1_plinestimulus20.png,TMTstop-control_1_pgreenlinestimulus20.png,TMTstop-control_1_predlinestimulus20.png,None,1.0,204.67147827148438,204.67147827148438,0.0,,1.0,1.0,0.0,2,0.27320839999447344,204.67147827148438,204.67147827148438,0.0,,22.0
24,['1'],1,TMTstop-control_1_plinestimulus21.png,TMTstop-control_1_pgreenlinestimulus21.png,TMTstop-control_1_predlinestimulus21.png,None,1.0,205.0438232421875,205.0438232421875,0.0,,1.0,1.0,0.0,1,0.2978556999951252,205.0438232421875,205.0438232421875,0.0,,23.0
25,['3'],3,TMTstop-control_1_plinestimulus22.png,TMTstop-control_1_pgreenlinestimulus22.png,TMTstop-control_1_predlinestimulus22.png,None,1.0,205.42083740234375,205.42083740234375,0.0,,1.0,1.0,0.0,3,0.31405590000213124,205.42083740234375,205.42083740234375,0.0,,24.0
None,None,None,TMTstop-control_1_plinestimulus23.png,TMTstop-control_1_pgreenlinestimulus23.png,TMTstop-control_1_predlinestimulus23.png,None,1.0,205.81446838378906,205.81446838378906,0.0,,1.0,1.0,0.0,,'--',205.81446838378906,205.81446838378906,0.0,,25.0

extraInfo
participant,
session,001
date,2022_May_23_1358
expName,TMT_practice
psychopyVersion,2021.2.3
frameRate,150.52170822896588
