NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,0,0,0,0,,,,,,,,,2,0,13.520386700001836,None,"['1', '2']",1,"[1.5662587999977404, 1.6454286000007414]",13.520386700001836,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,0,1,1,1,,,,,,,,,2,0,15.266325200005667,None,"['3', '1']",1,"[0.007439399996655993, 0.15419459999975516]",15.266325200005667,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,0,2,2,2,,,,,,,,,2,0,15.540465400001267,None,"['2', '3']",1,"[-0.06926240000029793, 0.03158830000029411]",15.540465400001267,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,0,3,3,3,,,,,,,,,1,1,15.664596900001925,None,['1'],1,[0.035342800001672],15.664596900001925,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,0,4,4,4,,,,,,,,,2,0,15.789675600004557,None,"['2', '3']",1,"[-0.041071799998462666, 0.06576879999920493]",15.789675600004557,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,0,5,5,5,,,,,,,,,1,1,15.955168100001174,None,['1'],1,[0.026527900001383387],15.955168100001174,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,0,6,6,6,,,,,,,,,2,0,16.072642000006454,None,"['2', '3']",1,"[-0.053467599995201454, 0.21056400000088615]",16.072642000006454,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,0,7,7,7,,,,,,,,,2,0,16.37748460000148,None,"['2', '1']",1,"[-0.06142649999674177, 0.16194430000177817]",16.37748460000148,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,0,8,8,8,,,,,,,,,1,1,16.66111980000278,None,['2'],1,[0.011729199999535922],16.66111980000278,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,0,9,9,9,,,,,,,,,1,1,16.76667080000334,None,['3'],1,[-0.021198900001763832],16.76667080000334,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
11,['2'],2,TMTstop-control_1_plinestimulus8.png,TMTstop-control_1_pgreenlinestimulus8.png,TMTstop-control_1_predlinestimulus8.png,10,0,10,10,10,,,,,,,,,2,0,16.85216670000227,None,"['1', '2']",1,"[0.0395972000042093, 0.08790560000488767]",16.85216670000227,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
12,['3'],3,TMTstop-control_1_plinestimulus9.png,TMTstop-control_1_pgreenlinestimulus9.png,TMTstop-control_1_predlinestimulus9.png,10,0,11,11,11,,,,,,,,,1,1,17.048052199999802,None,['3'],1,[0.03805360000114888],17.048052199999802,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
13,['1'],1,TMTstop-control_1_plinestimulus10.png,TMTstop-control_1_pgreenlinestimulus10.png,TMTstop-control_1_predlinestimulus10.png,1,0,12,12,12,,,,,,,,,1,1,17.181677500004298,None,['1'],1,[0.04547909999382682],17.181677500004298,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
14,['2'],2,TMTstop-control_1_plinestimulus11.png,TMTstop-control_1_pgreenlinestimulus11.png,TMTstop-control_1_predlinestimulus11.png,None,0,13,13,13,,,,,,,,,1,1,17.315551700005017,None,['2'],1,[-0.02982519999932265],17.315551700005017,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
15,['3'],3,TMTstop-control_1_plinestimulus12.png,TMTstop-control_1_pgreenlinestimulus12.png,TMTstop-control_1_predlinestimulus12.png,None,0,14,14,14,,,,,,,,,1,1,17.420250200004375,None,['3'],1,[-0.017521899993880652],17.420250200004375,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
16,['1'],1,TMTstop-control_1_plinestimulus13.png,TMTstop-control_1_pgreenlinestimulus13.png,TMTstop-control_1_predlinestimulus13.png,None,0,15,15,15,,,,,,,,,1,1,17.510283000003255,None,['1'],1,[0.0406310999969719],17.510283000003255,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
17,['3'],3,TMTstop-control_1_plinestimulus14.png,TMTstop-control_1_pgreenlinestimulus14.png,TMTstop-control_1_predlinestimulus14.png,None,0,16,16,16,,,,,,,,,2,0,17.63815070000419,None,"['2', '3']",1,"[-0.027019699999073055, 0.09691759999986971]",17.63815070000419,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
18,['1'],1,TMTstop-control_1_plinestimulus15.png,TMTstop-control_1_pgreenlinestimulus15.png,TMTstop-control_1_predlinestimulus15.png,None,0,17,17,17,,,,,,,,,1,1,17.86551260000124,None,['1'],1,[0.004219700000248849],17.86551260000124,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
19,['3'],3,TMTstop-control_1_plinestimulus16.png,TMTstop-control_1_pgreenlinestimulus16.png,TMTstop-control_1_predlinestimulus16.png,None,0,18,18,18,,,,,,,,,2,0,17.982465600005526,None,"['2', '3']",1,"[-0.08329229999799281, 0.06748620000144001]",17.982465600005526,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
20,['2'],2,TMTstop-control_1_plinestimulus17.png,TMTstop-control_1_pgreenlinestimulus17.png,TMTstop-control_1_predlinestimulus17.png,None,0,19,19,19,,,,,,,,,2,0,18.161441000003833,None,"['1', '2']",1,"[0.028681999996479135, 0.06206940000265604]",18.161441000003833,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
21,['1'],1,TMTstop-control_1_plinestimulus18.png,TMTstop-control_1_pgreenlinestimulus18.png,TMTstop-control_1_predlinestimulus18.png,None,0,20,20,20,,,,,,,,,2,0,18.31994990000385,None,"['3', '1']",1,"[0.05117240000254242, 0.19999370000005]",18.31994990000385,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
22,['3'],3,TMTstop-control_1_plinestimulus19.png,TMTstop-control_1_pgreenlinestimulus19.png,TMTstop-control_1_predlinestimulus19.png,None,0,21,21,21,,,,,,,,,2,0,18.63138720000279,None,"['2', '3']",1,"[-0.0696207000000868, 0.06736519999685697]",18.63138720000279,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
23,['2'],2,TMTstop-control_1_plinestimulus20.png,TMTstop-control_1_pgreenlinestimulus20.png,TMTstop-control_1_predlinestimulus20.png,None,0,22,22,22,,,,,,,,,2,0,18.795830400005798,None,"['1', '2']",1,"[0.1174133000022266, 0.13846919999923557]",18.795830400005798,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
24,['1'],1,TMTstop-control_1_plinestimulus21.png,TMTstop-control_1_pgreenlinestimulus21.png,TMTstop-control_1_predlinestimulus21.png,None,0,23,23,23,,,,,,,,,2,0,19.055017900005623,None,"['3', '1']",1,"[0.05510360000334913, 0.5299104000005173]",19.055017900005623,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
25,['3'],3,TMTstop-control_1_plinestimulus22.png,TMTstop-control_1_pgreenlinestimulus22.png,TMTstop-control_1_predlinestimulus22.png,None,0,24,24,24,,,,,,,,,2,0,19.768017800000962,None,"['2', '3']",1,"[-0.11277960000006715, 0.8032116999966092]",19.768017800000962,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
None,None,None,TMTstop-control_1_plinestimulus23.png,TMTstop-control_1_pgreenlinestimulus23.png,TMTstop-control_1_predlinestimulus23.png,None,0,25,25,25,,,,,,,,,0,0,20.656548400002066,None,None,1,,20.656548400002066,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
1,['3'],3,TMTstop-A_1_p.png,TMTstop-A_1_p.png,TMTstop-A_1_p.png,10,,,,,0,0,0,0,,,,,1,1,35.65943300000072,None,['3'],1,[1.9188814000008279],35.65943300000072,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
2,['1'],1,TMTstop-A_1_p.png,TMTstop-A_1_pfirstgreen.png,TMTstop-A_1_pfirstred.png,10,,,,,0,1,1,1,,,,,1,1,37.66796020000038,None,['1'],1,[0.9614702999970177],37.66796020000038,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
3,['2'],2,TMTstop-A_1_plinestimulus0.png,TMTstop-A_1_pgreenlinestimulus0.png,TMTstop-A_1_predlinestimulus0.png,10,,,,,0,2,2,2,,,,,1,1,38.713546900005895,None,['2'],1,[0.6271381000042311],38.713546900005895,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
4,['1'],1,TMTstop-A_1_plinestimulus1.png,TMTstop-A_1_pgreenlinestimulus1.png,TMTstop-A_1_predlinestimulus1.png,10,,,,,0,3,3,3,,,,,1,1,39.41768390000652,None,['1'],1,[2.2248324999964098],39.41768390000652,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
5,['2'],2,TMTstop-A_1_plinestimulus2.png,TMTstop-A_1_pgreenlinestimulus2.png,TMTstop-A_1_predlinestimulus2.png,10,,,,,0,4,4,4,,,,,1,1,41.73360970000067,None,['2'],1,[1.5139899999994668],41.73360970000067,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
6,['1'],1,TMTstop-A_1_plinestimulus3.png,TMTstop-A_1_pgreenlinestimulus3.png,TMTstop-A_1_predlinestimulus3.png,10,,,,,0,5,5,5,,,,,1,1,43.33089390000532,None,['1'],1,[1.785331799997948],43.33089390000532,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
7,['2'],2,TMTstop-A_1_plinestimulus4.png,TMTstop-A_1_pgreenlinestimulus4.png,TMTstop-A_1_predlinestimulus4.png,10,,,,,0,6,6,6,,,,,1,1,45.19940530000167,None,['2'],1,[0.8127050000039162],45.19940530000167,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
8,['1'],1,TMTstop-A_1_plinestimulus5.png,TMTstop-A_1_pgreenlinestimulus5.png,TMTstop-A_1_predlinestimulus5.png,10,,,,,0,7,7,7,,,,,1,1,46.09474500000215,None,['1'],1,[-0.05065689999901224],46.09474500000215,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
