NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['3'],3,TMTstop-A_1_p.png,TMTstop-A_1_p.png,TMTstop-A_1_p.png,10,1.0,35.65943145751953,35.65943145751953,0.0,,1.0,1.0,0.0,3,1.9188814000008279,35.65943145751953,35.65943145751953,0.0,,0.0
2,['1'],1,TMTstop-A_1_p.png,TMTstop-A_1_pfirstgreen.png,TMTstop-A_1_pfirstred.png,10,1.0,37.66796112060547,37.66796112060547,0.0,,1.0,1.0,0.0,1,0.9614702999970177,37.66796112060547,37.66796112060547,0.0,,1.0
3,['2'],2,TMTstop-A_1_plinestimulus0.png,TMTstop-A_1_pgreenlinestimulus0.png,TMTstop-A_1_predlinestimulus0.png,10,1.0,38.71354675292969,38.71354675292969,0.0,,1.0,1.0,0.0,2,0.6271381000042311,38.71354675292969,38.71354675292969,0.0,,2.0
4,['1'],1,TMTstop-A_1_plinestimulus1.png,TMTstop-A_1_pgreenlinestimulus1.png,TMTstop-A_1_predlinestimulus1.png,10,1.0,39.41768264770508,39.41768264770508,0.0,,1.0,1.0,0.0,1,2.2248324999964098,39.41768264770508,39.41768264770508,0.0,,3.0
5,['2'],2,TMTstop-A_1_plinestimulus2.png,TMTstop-A_1_pgreenlinestimulus2.png,TMTstop-A_1_predlinestimulus2.png,10,1.0,41.73360824584961,41.73360824584961,0.0,,1.0,1.0,0.0,2,1.5139899999994668,41.73360824584961,41.73360824584961,0.0,,4.0
6,['1'],1,TMTstop-A_1_plinestimulus3.png,TMTstop-A_1_pgreenlinestimulus3.png,TMTstop-A_1_predlinestimulus3.png,10,1.0,43.330894470214844,43.330894470214844,0.0,,1.0,1.0,0.0,1,1.785331799997948,43.330894470214844,43.330894470214844,0.0,,5.0
7,['2'],2,TMTstop-A_1_plinestimulus4.png,TMTstop-A_1_pgreenlinestimulus4.png,TMTstop-A_1_predlinestimulus4.png,10,1.0,45.199405670166016,45.199405670166016,0.0,,1.0,1.0,0.0,2,0.8127050000039162,45.199405670166016,45.199405670166016,0.0,,6.0
8,['1'],1,TMTstop-A_1_plinestimulus5.png,TMTstop-A_1_pgreenlinestimulus5.png,TMTstop-A_1_predlinestimulus5.png,10,1.0,46.09474563598633,46.09474563598633,0.0,,1.0,1.0,0.0,1,-0.05065689999901224,46.09474563598633,46.09474563598633,0.0,,7.0
9,['2'],2,TMTstop-A_1_plinestimulus6.png,TMTstop-A_1_pgreenlinestimulus6.png,TMTstop-A_1_predlinestimulus6.png,10,1.0,46.28767776489258,46.28767776489258,0.0,,1.0,1.0,0.0,2,3.8481289000046672,46.28767776489258,46.28767776489258,0.0,,8.0
10,['1'],1,TMTstop-A_1_plinestimulus7.png,TMTstop-A_1_pgreenlinestimulus7.png,TMTstop-A_1_predlinestimulus7.png,10,1.0,50.21342849731445,50.21342849731445,0.0,,1.0,1.0,0.0,1,0.9678141000040341,50.21342849731445,50.21342849731445,0.0,,9.0
