NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['3'],3,TMTstop-B_1_p.png,TMTstop-B_1_p.png,TMTstop-B_1_p.png,10,1.0,93.29273986816406,93.29273986816406,0.0,,1.0,1.0,0.0,3,1.651105999997526,93.29273986816406,93.29273986816406,0.0,,0.0
A,['1'],1,TMTstop-B_1_p.png,TMTstop-B_1_pfirstgreen.png,TMTstop-B_1_pfirstred.png,10,1.0,95.03678894042969,95.03678894042969,0.0,,1.0,1.0,0.0,1,1.2408406000031391,95.03678894042969,95.03678894042969,0.0,,1.0
2,['2'],2,TMTstop-B_1_plinestimulus0.png,TMTstop-B_1_pgreenlinestimulus0.png,TMTstop-B_1_predlinestimulus0.png,10,1.0,96.35429382324219,96.35429382324219,0.0,,1.0,1.0,0.0,2,2.5577788000009605,96.35429382324219,96.35429382324219,0.0,,2.0
B,['3'],3,TMTstop-B_1_plinestimulus1.png,TMTstop-B_1_pgreenlinestimulus1.png,TMTstop-B_1_predlinestimulus1.png,10,1.0,99.00818634033203,99.00818634033203,0.0,,1.0,1.0,0.0,3,3.666614699999627,99.00818634033203,99.00818634033203,0.0,,3.0
3,['1'],1,TMTstop-B_1_plinestimulus2.png,TMTstop-B_1_pgreenlinestimulus2.png,TMTstop-B_1_predlinestimulus2.png,10,1.0,102.76166534423828,102.76166534423828,0.0,,1.0,1.0,0.0,1,7.66330790000211,102.76166534423828,102.76166534423828,0.0,,4.0
C,['3'],3,TMTstop-B_1_plinestimulus3.png,TMTstop-B_1_pgreenlinestimulus3.png,TMTstop-B_1_predlinestimulus3.png,10,1.0,110.5027847290039,110.5027847290039,0.0,,1.0,1.0,0.0,3,1.1258484999998473,110.5027847290039,110.5027847290039,0.0,,5.0
4,['1'],1,TMTstop-B_1_plinestimulus4.png,TMTstop-B_1_pgreenlinestimulus4.png,TMTstop-B_1_predlinestimulus4.png,10,1.0,111.71009063720703,111.71009063720703,0.0,,1.0,1.0,0.0,1,2.491868199998862,111.71009063720703,111.71009063720703,0.0,,6.0
D,['3'],3,TMTstop-B_1_plinestimulus5.png,TMTstop-B_1_pgreenlinestimulus5.png,TMTstop-B_1_predlinestimulus5.png,10,1.0,114.28209686279297,114.28209686279297,0.0,,1.0,1.0,0.0,3,4.8690683000022545,114.28209686279297,114.28209686279297,0.0,,7.0
5,['2'],2,TMTstop-B_1_plinestimulus6.png,TMTstop-B_1_pgreenlinestimulus6.png,TMTstop-B_1_predlinestimulus6.png,10,1.0,119.23246002197266,119.23246002197266,0.0,,1.0,1.0,0.0,2,1.180718000003253,119.23246002197266,119.23246002197266,0.0,,8.0
E,['1'],1,TMTstop-B_1_plinestimulus7.png,TMTstop-B_1_pgreenlinestimulus7.png,TMTstop-B_1_predlinestimulus7.png,10,1.0,120.48994445800781,120.48994445800781,0.0,,1.0,1.0,0.0,1,6.790549800003646,120.48994445800781,120.48994445800781,0.0,,9.0
6,['3'],3,TMTstop-B_1_plinestimulus8.png,TMTstop-B_1_pgreenlinestimulus8.png,TMTstop-B_1_predlinestimulus8.png,10,1.0,127.45623016357422,127.45623016357422,0.0,,1.0,1.0,0.0,3,1.5455256999994162,127.45623016357422,127.45623016357422,0.0,,10.0
F,['1'],1,TMTstop-B_1_plinestimulus9.png,TMTstop-B_1_pgreenlinestimulus9.png,TMTstop-B_1_predlinestimulus9.png,10,1.0,129.0967559814453,129.0967559814453,0.0,,1.0,1.0,0.0,3,1,8.301632000002428,9.132886800005508,129.0967559814453,129.0967559814453,0.0,,11.0
7,['3'],3,TMTstop-B_1_plinestimulus10.png,TMTstop-B_1_pgreenlinestimulus10.png,TMTstop-B_1_predlinestimulus10.png,1,1.0,138.3602752685547,138.3602752685547,0.0,,1.0,1.0,0.0,3,2.3175339000008535,138.3602752685547,138.3602752685547,0.0,,12.0
G,['1'],1,TMTstop-B_1_plinestimulus11.png,TMTstop-B_1_pgreenlinestimulus11.png,TMTstop-B_1_predlinestimulus11.png,None,1.0,140.7597198486328,140.7597198486328,0.0,,1.0,1.0,0.0,2,1,-0.05062520000501536,4.443165299999237,140.7597198486328,140.7597198486328,0.0,,13.0
8,['2'],2,TMTstop-B_1_plinestimulus12.png,TMTstop-B_1_pgreenlinestimulus12.png,TMTstop-B_1_predlinestimulus12.png,None,1.0,145.30908203125,145.30908203125,0.0,,1.0,1.0,0.0,2,1.6983773000029032,145.30908203125,145.30908203125,0.0,,14.0
H,['3'],3,TMTstop-B_1_plinestimulus13.png,TMTstop-B_1_pgreenlinestimulus13.png,TMTstop-B_1_predlinestimulus13.png,None,1.0,147.10671997070312,147.10671997070312,0.0,,1.0,1.0,0.0,3,1.2486523000043235,147.10671997070312,147.10671997070312,0.0,,15.0
9,['2'],2,TMTstop-B_1_plinestimulus14.png,TMTstop-B_1_pgreenlinestimulus14.png,TMTstop-B_1_predlinestimulus14.png,None,1.0,148.4387969970703,148.4387969970703,0.0,,1.0,1.0,0.0,2,1.8956066000027931,148.4387969970703,148.4387969970703,0.0,,16.0
I,['3'],3,TMTstop-B_1_plinestimulus15.png,TMTstop-B_1_pgreenlinestimulus15.png,TMTstop-B_1_predlinestimulus15.png,None,1.0,150.41322326660156,150.41322326660156,0.0,,1.0,1.0,0.0,3,0.5684196000001975,150.41322326660156,150.41322326660156,0.0,,17.0
10,['1'],1,TMTstop-B_1_plinestimulus16.png,TMTstop-B_1_pgreenlinestimulus16.png,TMTstop-B_1_predlinestimulus16.png,None,1.0,151.08192443847656,151.08192443847656,0.0,,1.0,1.0,0.0,1,0.8930220999973244,151.08192443847656,151.08192443847656,0.0,,18.0
J,['3'],3,TMTstop-B_1_plinestimulus17.png,TMTstop-B_1_pgreenlinestimulus17.png,TMTstop-B_1_predlinestimulus17.png,None,1.0,152.06350708007812,152.06350708007812,0.0,,1.0,1.0,0.0,1,1,3,0.7112909999996191,1.689240100000461,3.290508599995519,152.06350708007812,152.06350708007812,0.0,,19.0
11,['1'],1,TMTstop-B_1_plinestimulus18.png,TMTstop-B_1_pgreenlinestimulus18.png,TMTstop-B_1_predlinestimulus18.png,None,1.0,155.46018981933594,155.46018981933594,0.0,,1.0,1.0,0.0,1,0.7035362999959034,155.46018981933594,155.46018981933594,0.0,,20.0
K,['3'],3,TMTstop-B_1_plinestimulus19.png,TMTstop-B_1_pgreenlinestimulus19.png,TMTstop-B_1_predlinestimulus19.png,None,1.0,156.25204467773438,156.25204467773438,0.0,,1.0,1.0,0.0,3,1.1819583999968017,156.25204467773438,156.25204467773438,0.0,,21.0
12,['1'],1,TMTstop-B_1_plinestimulus20.png,TMTstop-B_1_pgreenlinestimulus20.png,TMTstop-B_1_predlinestimulus20.png,None,1.0,157.52151489257812,157.52151489257812,0.0,,1.0,1.0,0.0,1,0.7498676000031992,157.52151489257812,157.52151489257812,0.0,,22.0
L,['2'],2,TMTstop-B_1_plinestimulus21.png,TMTstop-B_1_pgreenlinestimulus21.png,TMTstop-B_1_predlinestimulus21.png,None,1.0,158.36839294433594,158.36839294433594,0.0,,1.0,1.0,0.0,2,1.2689126999975997,158.36839294433594,158.36839294433594,0.0,,23.0
13,['3'],3,TMTstop-B_1_plinestimulus22.png,TMTstop-B_1_pgreenlinestimulus22.png,TMTstop-B_1_predlinestimulus22.png,None,1.0,159.72506713867188,159.72506713867188,0.0,,1.0,1.0,0.0,3,0.767808700002206,159.72506713867188,159.72506713867188,0.0,,24.0
None,None,None,TMTstop-B_1_plinestimulus23.png,TMTstop-B_1_pgreenlinestimulus23.png,TMTstop-B_1_predlinestimulus23.png,None,1.0,160.5762939453125,160.5762939453125,0.0,,1.0,1.0,0.0,,'--',160.5762939453125,160.5762939453125,0.0,,25.0

extraInfo
participant,
session,001
date,2022_May_23_1401
expName,TMT_practice
psychopyVersion,2021.2.3
frameRate,144.2154463398364
