NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,0,0,0,0,,,,,,,,,2,0,13.227280500002962,None,"['1', '2']",1,"[1.268356100001256, 1.6518589999977848]",13.227280500002962,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,0,1,1,1,,,,,,,,,3,0,14.960300099999586,None,"['3', '2', '1']",1,"[0.4253647000005003, 1.1999479000005522, 1.4578169000014896]",14.960300099999586,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,0,2,2,2,,,,,,,,,2,0,16.50118900000234,None,"['2', '3']",1,"[0.021340300001611467, 0.13382080000155838]",16.50118900000234,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,0,3,3,3,,,,,,,,,1,1,16.744819300001836,None,['1'],1,[0.9650848000019323],16.744819300001836,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,0,4,4,4,,,,,,,,,4,0,17.7841075000033,None,"['1', '1', '2', '3']",1,"[0.832368299998052, 1.357361900001706, 1.5795145000010962, 1.7225068999978248]",17.7841075000033,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,0,5,5,5,,,,,,,,,1,1,19.592382599999837,None,['1'],1,[0.07125999999698251],19.592382599999837,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,0,6,6,6,,,,,,,,,2,0,19.73930239999754,None,"['2', '3']",1,"[0.0032441000003018416, 0.11360850000346545]",19.73930239999754,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,0,7,7,7,,,,,,,,,1,1,19.926336299999093,None,['1'],1,[0.04665559999557445],19.926336299999093,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,0,8,8,8,,,,,,,,,1,1,20.044160099998408,None,['2'],1,[0.005195300000195857],20.044160099998408,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,0,9,9,9,,,,,,,,,1,1,20.121532500001194,None,['3'],1,[0.043171200006327126],20.121532500001194,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
11,['2'],2,TMTstop-control_1_plinestimulus8.png,TMTstop-control_1_pgreenlinestimulus8.png,TMTstop-control_1_predlinestimulus8.png,10,0,10,10,10,,,,,,,,,3,0,20.234626199999184,None,"['1', '1', '2']",1,"[0.931617100002768, 1.7123955999995815, 1.7536607000001823]",20.234626199999184,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
12,['3'],3,TMTstop-control_1_plinestimulus9.png,TMTstop-control_1_pgreenlinestimulus9.png,TMTstop-control_1_predlinestimulus9.png,10,0,11,11,11,,,,,,,,,1,1,22.082918000000063,None,['3'],1,[0.043149700002686586],22.082918000000063,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
13,['1'],1,TMTstop-control_1_plinestimulus10.png,TMTstop-control_1_pgreenlinestimulus10.png,TMTstop-control_1_predlinestimulus10.png,1,0,12,12,12,,,,,,,,,1,1,22.206856500000868,None,['1'],1,[0.07706190000317292],22.206856500000868,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
