NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['3'],3,TMTstop-A_1_p.png,TMTstop-A_1_p.png,TMTstop-A_1_p.png,10,1.0,59.23694610595703,59.23694610595703,0.0,,1.0,1.0,0.0,3,3.085025599983055,59.23694610595703,59.23694610595703,0.0,,0.0
2,['1'],1,TMTstop-A_1_p.png,TMTstop-A_1_pfirstgreen.png,TMTstop-A_1_pfirstred.png,10,1.0,62.44105911254883,62.44105911254883,0.0,,1.0,1.0,0.0,1,1.2612433999893256,62.44105911254883,62.44105911254883,0.0,,1.0
3,['2'],2,TMTstop-A_1_plinestimulus0.png,TMTstop-A_1_pgreenlinestimulus0.png,TMTstop-A_1_predlinestimulus0.png,10,1.0,63.83683395385742,63.83683395385742,0.0,,1.0,1.0,0.0,2,1.0728404999827035,63.83683395385742,63.83683395385742,0.0,,2.0
4,['1'],1,TMTstop-A_1_plinestimulus1.png,TMTstop-A_1_pgreenlinestimulus1.png,TMTstop-A_1_predlinestimulus1.png,10,1.0,65.04402923583984,65.04402923583984,0.0,,1.0,1.0,0.0,1,4.699153899971861,65.04402923583984,65.04402923583984,0.0,,3.0
5,['2'],2,TMTstop-A_1_plinestimulus2.png,TMTstop-A_1_pgreenlinestimulus2.png,TMTstop-A_1_predlinestimulus2.png,10,1.0,69.9055404663086,69.9055404663086,0.0,,1.0,1.0,0.0,2,0.9608234000043012,69.9055404663086,69.9055404663086,0.0,,4.0
6,['1'],1,TMTstop-A_1_plinestimulus3.png,TMTstop-A_1_pgreenlinestimulus3.png,TMTstop-A_1_predlinestimulus3.png,10,1.0,71.02195739746094,71.02195739746094,0.0,,1.0,1.0,0.0,1,3.52297729998827,71.02195739746094,71.02195739746094,0.0,,5.0
7,['2'],2,TMTstop-A_1_plinestimulus4.png,TMTstop-A_1_pgreenlinestimulus4.png,TMTstop-A_1_predlinestimulus4.png,10,1.0,74.66243743896484,74.66243743896484,0.0,,1.0,1.0,0.0,2,1.0015031000366434,74.66243743896484,74.66243743896484,0.0,,6.0
8,['1'],1,TMTstop-A_1_plinestimulus5.png,TMTstop-A_1_pgreenlinestimulus5.png,TMTstop-A_1_predlinestimulus5.png,10,1.0,75.7757568359375,75.7757568359375,0.0,,1.0,1.0,0.0,1,0.6512515000067651,75.7757568359375,75.7757568359375,0.0,,7.0
9,['2'],2,TMTstop-A_1_plinestimulus6.png,TMTstop-A_1_pgreenlinestimulus6.png,TMTstop-A_1_predlinestimulus6.png,10,1.0,76.53059387207031,76.53059387207031,0.0,,1.0,1.0,0.0,2,0.5614205000456423,76.53059387207031,76.53059387207031,0.0,,8.0
10,['1'],1,TMTstop-A_1_plinestimulus7.png,TMTstop-A_1_pgreenlinestimulus7.png,TMTstop-A_1_predlinestimulus7.png,10,1.0,77.2035903930664,77.2035903930664,0.0,,1.0,1.0,0.0,1,0.8186891000368632,77.2035903930664,77.2035903930664,0.0,,9.0
11,['2'],2,TMTstop-A_1_plinestimulus8.png,TMTstop-A_1_pgreenlinestimulus8.png,TMTstop-A_1_predlinestimulus8.png,10,1.0,78.12975311279297,78.12975311279297,0.0,,1.0,1.0,0.0,2,1.0509765000315383,78.12975311279297,78.12975311279297,0.0,,10.0
12,['1'],1,TMTstop-A_1_plinestimulus9.png,TMTstop-A_1_pgreenlinestimulus9.png,TMTstop-A_1_predlinestimulus9.png,10,1.0,79.29402160644531,79.29402160644531,0.0,,1.0,1.0,0.0,1,0.5154869999969378,79.29402160644531,79.29402160644531,0.0,,11.0
13,['2'],2,TMTstop-A_1_plinestimulus10.png,TMTstop-A_1_pgreenlinestimulus10.png,TMTstop-A_1_predlinestimulus10.png,1,1.0,79.93396759033203,79.93396759033203,0.0,,1.0,1.0,0.0,2,1.5145867999526672,79.93396759033203,79.93396759033203,0.0,,12.0
14,['3'],3,TMTstop-A_1_plinestimulus11.png,TMTstop-A_1_pgreenlinestimulus11.png,TMTstop-A_1_predlinestimulus11.png,None,1.0,81.55931091308594,81.55931091308594,0.0,,1.0,1.0,0.0,3,0.5078403999796137,81.55931091308594,81.55931091308594,0.0,,13.0
15,['1'],1,TMTstop-A_1_plinestimulus12.png,TMTstop-A_1_pgreenlinestimulus12.png,TMTstop-A_1_predlinestimulus12.png,None,1.0,82.20697784423828,82.20697784423828,0.0,,1.0,1.0,0.0,1,0.5679071000195108,82.20697784423828,82.20697784423828,0.0,,14.0
16,['3'],3,TMTstop-A_1_plinestimulus13.png,TMTstop-A_1_pgreenlinestimulus13.png,TMTstop-A_1_predlinestimulus13.png,None,1.0,82.88665008544922,82.88665008544922,0.0,,1.0,1.0,0.0,3,1.2352672000415623,82.88665008544922,82.88665008544922,0.0,,15.0
17,['1'],1,TMTstop-A_1_plinestimulus14.png,TMTstop-A_1_pgreenlinestimulus14.png,TMTstop-A_1_predlinestimulus14.png,None,1.0,84.22766876220703,84.22766876220703,0.0,,1.0,1.0,0.0,1,0.6206970999483019,84.22766876220703,84.22766876220703,0.0,,16.0
18,['2'],2,TMTstop-A_1_plinestimulus15.png,TMTstop-A_1_pgreenlinestimulus15.png,TMTstop-A_1_predlinestimulus15.png,None,1.0,84.96491241455078,84.96491241455078,0.0,,1.0,1.0,0.0,2,0.5350099999923259,84.96491241455078,84.96491241455078,0.0,,17.0
19,['3'],3,TMTstop-A_1_plinestimulus16.png,TMTstop-A_1_pgreenlinestimulus16.png,TMTstop-A_1_predlinestimulus16.png,None,1.0,85.62279510498047,85.62279510498047,0.0,,1.0,1.0,0.0,2,3,1.628994499973487,4.43940209998982,85.62279510498047,85.62279510498047,0.0,,18.0
20,['2'],2,TMTstop-A_1_plinestimulus17.png,TMTstop-A_1_pgreenlinestimulus17.png,TMTstop-A_1_predlinestimulus17.png,None,1.0,90.27845764160156,90.27845764160156,0.0,,1.0,1.0,0.0,2,0.376131400000304,90.27845764160156,90.27845764160156,0.0,,19.0
21,['3'],3,TMTstop-A_1_plinestimulus18.png,TMTstop-A_1_pgreenlinestimulus18.png,TMTstop-A_1_predlinestimulus18.png,None,1.0,90.78646850585938,90.78646850585938,0.0,,1.0,1.0,0.0,3,1.1087484000017866,90.78646850585938,90.78646850585938,0.0,,20.0
22,['1'],1,TMTstop-A_1_plinestimulus19.png,TMTstop-A_1_pgreenlinestimulus19.png,TMTstop-A_1_predlinestimulus19.png,None,1.0,92.0140380859375,92.0140380859375,0.0,,1.0,1.0,0.0,1,0.7414388000033796,92.0140380859375,92.0140380859375,0.0,,21.0
23,['2'],2,TMTstop-A_1_plinestimulus20.png,TMTstop-A_1_pgreenlinestimulus20.png,TMTstop-A_1_predlinestimulus20.png,None,1.0,92.88307189941406,92.88307189941406,0.0,,1.0,1.0,0.0,2,1.328396699973382,92.88307189941406,92.88307189941406,0.0,,22.0
24,['3'],3,TMTstop-A_1_plinestimulus21.png,TMTstop-A_1_pgreenlinestimulus21.png,TMTstop-A_1_predlinestimulus21.png,None,1.0,94.3243179321289,94.3243179321289,0.0,,1.0,1.0,0.0,3,0.09134649997577071,94.3243179321289,94.3243179321289,0.0,,23.0
25,['2'],2,TMTstop-A_1_plinestimulus22.png,TMTstop-A_1_pgreenlinestimulus22.png,TMTstop-A_1_predlinestimulus22.png,None,1.0,94.52824401855469,94.52824401855469,0.0,,1.0,1.0,0.0,2,1.3098344000172801,94.52824401855469,94.52824401855469,0.0,,24.0
