NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,1.0,29.045387268066406,29.045387268066406,0.0,,1.0,1.0,0.0,2,2.298400599975139,29.045387268066406,29.045387268066406,0.0,,0.0
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,1.0,31.492795944213867,31.492795944213867,0.0,,1.0,1.0,0.0,1,0.6752072000526823,31.492795944213867,31.492795944213867,0.0,,1.0
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,1.0,32.26759338378906,32.26759338378906,0.0,,1.0,1.0,0.0,3,0.6308498000144027,32.26759338378906,32.26759338378906,0.0,,2.0
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,1.0,33.01239776611328,33.01239776611328,0.0,,1.0,1.0,0.0,1,0.42995119997067377,33.01239776611328,33.01239776611328,0.0,,3.0
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,1.0,33.548095703125,33.548095703125,0.0,,1.0,1.0,0.0,3,0.3220335000078194,33.548095703125,33.548095703125,0.0,,4.0
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,1.0,33.99231719970703,33.99231719970703,0.0,,1.0,1.0,0.0,1,0.34224249998806044,33.99231719970703,33.99231719970703,0.0,,5.0
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,1.0,34.44512176513672,34.44512176513672,0.0,,1.0,1.0,0.0,3,0.33525669999653473,34.44512176513672,34.44512176513672,0.0,,6.0
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,1.0,34.89262771606445,34.89262771606445,0.0,,1.0,1.0,0.0,1,0.31039230001624674,34.89262771606445,34.89262771606445,0.0,,7.0
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,1.0,35.31230545043945,35.31230545043945,0.0,,1.0,1.0,0.0,2,0.5243132999748923,35.31230545043945,35.31230545043945,0.0,,8.0
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,1.0,35.93976974487305,35.93976974487305,0.0,,1.0,1.0,0.0,3,0.2203056999715045,35.93976974487305,35.93976974487305,0.0,,9.0
11,['2'],2,TMTstop-control_1_plinestimulus8.png,TMTstop-control_1_pgreenlinestimulus8.png,TMTstop-control_1_predlinestimulus8.png,10,1.0,36.26544189453125,36.26544189453125,0.0,,1.0,1.0,0.0,2,0.3366476999945007,36.26544189453125,36.26544189453125,0.0,,10.0
12,['3'],3,TMTstop-control_1_plinestimulus9.png,TMTstop-control_1_pgreenlinestimulus9.png,TMTstop-control_1_predlinestimulus9.png,10,1.0,36.70527267456055,36.70527267456055,0.0,,1.0,1.0,0.0,3,0.36136229999829084,36.70527267456055,36.70527267456055,0.0,,11.0
13,['1'],1,TMTstop-control_1_plinestimulus10.png,TMTstop-control_1_pgreenlinestimulus10.png,TMTstop-control_1_predlinestimulus10.png,1,1.0,37.17522048950195,37.17522048950195,0.0,,1.0,1.0,0.0,1,0.36830919998465106,37.17522048950195,37.17522048950195,0.0,,12.0
14,['2'],2,TMTstop-control_1_plinestimulus11.png,TMTstop-control_1_pgreenlinestimulus11.png,TMTstop-control_1_predlinestimulus11.png,None,1.0,37.658260345458984,37.658260345458984,0.0,,1.0,1.0,0.0,2,0.2683004999998957,37.658260345458984,37.658260345458984,0.0,,13.0
15,['3'],3,TMTstop-control_1_plinestimulus12.png,TMTstop-control_1_pgreenlinestimulus12.png,TMTstop-control_1_predlinestimulus12.png,None,1.0,38.040077209472656,38.040077209472656,0.0,,1.0,1.0,0.0,3,0.2605784999905154,38.040077209472656,38.040077209472656,0.0,,14.0
