NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Stim.started,key_resp_2.started,Attempts,First_attempt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,0,0,0,0,,,,,,,,,16.57430629999726,16.57430629999726,1,1,['2'],1,[0.9844040000025416],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,0,1,1,1,,,,,,,,,17.63542299999972,17.63542299999972,1,1,['1'],1,[0.38610370000242256],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,0,2,2,2,,,,,,,,,18.094991899997694,18.094991899997694,1,1,['3'],1,[0.4530687000078615],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,0,3,3,3,,,,,,,,,18.63108830001147,18.63108830001147,1,1,['1'],1,[0.5307670000038343],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,0,4,4,4,,,,,,,,,19.232740200008266,19.232740200008266,1,1,['3'],1,[0.26600579998921603],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,0,5,5,5,,,,,,,,,19.587590900002397,19.587590900002397,1,1,['1'],1,[0.35019820000161417],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,0,6,6,6,,,,,,,,,20.03120920000947,20.03120920000947,1,1,['3'],1,[0.19917429999622982],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,0,7,7,7,,,,,,,,,20.303248900003382,20.303248900003382,2,0,"['2', '1']",1,"[0.4223677999980282, 0.7565908999968087]",,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,0,8,8,8,,,,,,,,,21.16172920000099,21.16172920000099,1,1,['2'],1,[0.45815740000398364],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,0,9,9,9,,,,,,,,,21.70265800000925,21.70265800000925,1,1,['3'],1,[0.27481560000160243],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
