NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,order
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,1.0,1.0,1.0,0.0,2,0.9844040000025416,0.0
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,1.0,1.0,1.0,0.0,1,0.38610370000242256,1.0
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,1.0,1.0,1.0,0.0,3,0.4530687000078615,2.0
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,1.0,1.0,1.0,0.0,1,0.5307670000038343,3.0
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,1.0,1.0,1.0,0.0,3,0.26600579998921603,4.0
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,1.0,1.0,1.0,0.0,1,0.35019820000161417,5.0
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,1.0,1.0,1.0,0.0,3,0.19917429999622982,6.0
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,1.0,1.0,1.0,0.0,2,1,0.4223677999980282,0.7565908999968087,7.0
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,1.0,1.0,1.0,0.0,2,0.45815740000398364,8.0
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,1.0,1.0,1.0,0.0,3,0.27481560000160243,9.0
11,['2'],2,TMTstop-control_1_plinestimulus8.png,TMTstop-control_1_pgreenlinestimulus8.png,TMTstop-control_1_predlinestimulus8.png,10,1.0,1.0,1.0,0.0,2,0.4367842999927234,10.0
12,['3'],3,TMTstop-control_1_plinestimulus9.png,TMTstop-control_1_pgreenlinestimulus9.png,TMTstop-control_1_predlinestimulus9.png,10,1.0,1.0,1.0,0.0,3,0.3672116000088863,11.0
13,['1'],1,TMTstop-control_1_plinestimulus10.png,TMTstop-control_1_pgreenlinestimulus10.png,TMTstop-control_1_predlinestimulus10.png,1,1.0,1.0,1.0,0.0,1,0.4310724999959348,12.0
14,['2'],2,TMTstop-control_1_plinestimulus11.png,TMTstop-control_1_pgreenlinestimulus11.png,TMTstop-control_1_predlinestimulus11.png,None,1.0,1.0,1.0,0.0,2,0.34883849999459926,13.0
15,['3'],3,TMTstop-control_1_plinestimulus12.png,TMTstop-control_1_pgreenlinestimulus12.png,TMTstop-control_1_predlinestimulus12.png,None,1.0,1.0,1.0,0.0,3,0.46833909999986645,14.0
16,['1'],1,TMTstop-control_1_plinestimulus13.png,TMTstop-control_1_pgreenlinestimulus13.png,TMTstop-control_1_predlinestimulus13.png,None,1.0,1.0,1.0,0.0,1,0.34389119999832474,15.0
17,['3'],3,TMTstop-control_1_plinestimulus14.png,TMTstop-control_1_pgreenlinestimulus14.png,TMTstop-control_1_predlinestimulus14.png,None,1.0,1.0,1.0,0.0,3,0.3424162000010256,16.0
18,['1'],1,TMTstop-control_1_plinestimulus15.png,TMTstop-control_1_pgreenlinestimulus15.png,TMTstop-control_1_predlinestimulus15.png,None,1.0,1.0,1.0,0.0,1,0.3358267000003252,17.0
19,['3'],3,TMTstop-control_1_plinestimulus16.png,TMTstop-control_1_pgreenlinestimulus16.png,TMTstop-control_1_predlinestimulus16.png,None,1.0,1.0,1.0,0.0,3,0.4090357999957632,18.0
20,['2'],2,TMTstop-control_1_plinestimulus17.png,TMTstop-control_1_pgreenlinestimulus17.png,TMTstop-control_1_predlinestimulus17.png,None,1.0,1.0,1.0,0.0,2,0.6419869999954244,19.0
21,['1'],1,TMTstop-control_1_plinestimulus18.png,TMTstop-control_1_pgreenlinestimulus18.png,TMTstop-control_1_predlinestimulus18.png,None,1.0,1.0,1.0,0.0,1,0.25313019999885,20.0
22,['3'],3,TMTstop-control_1_plinestimulus19.png,TMTstop-control_1_pgreenlinestimulus19.png,TMTstop-control_1_predlinestimulus19.png,None,1.0,1.0,1.0,0.0,3,0.3532910000067204,21.0
23,['2'],2,TMTstop-control_1_plinestimulus20.png,TMTstop-control_1_pgreenlinestimulus20.png,TMTstop-control_1_predlinestimulus20.png,None,1.0,1.0,1.0,0.0,2,0.46057480000308715,22.0
24,['1'],1,TMTstop-control_1_plinestimulus21.png,TMTstop-control_1_pgreenlinestimulus21.png,TMTstop-control_1_predlinestimulus21.png,None,1.0,1.0,1.0,0.0,1,0.34828510000079405,23.0
25,['3'],3,TMTstop-control_1_plinestimulus22.png,TMTstop-control_1_pgreenlinestimulus22.png,TMTstop-control_1_predlinestimulus22.png,None,1.0,1.0,1.0,0.0,3,0.488611899985699,24.0
None,None,None,TMTstop-control_1_plinestimulus23.png,TMTstop-control_1_pgreenlinestimulus23.png,TMTstop-control_1_predlinestimulus23.png,None,1.0,1.0,1.0,0.0,,'--',25.0

extraInfo
participant,
session,001
date,2023-02-28_11h35.40.807
expName,TMT_practice
psychopyVersion,2022.2.5
frameRate,60.1312786060439
