NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,12.857625599950552,None,12.857625599950552,None,14.286928599933162,None,['1'],0,[1.1048906000796705],14.286928599933162,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
A,1,TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,0,1,1,1,,,,,15.474382999935187,None,['1'],0,[0.3606074000708759],15.474382999935187,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
2,3,TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,15.911720699979924,None,['1'],0,[0.2364207999780774],15.911720699979924,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
B,2,TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,16.21731129998807,None,['1'],0,[0.17582650005351752],16.21731129998807,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
3,1,TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,16.48236589995213,None,['1'],0,[0.12877630000002682],16.48236589995213,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
C,2,TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,16.68979550001677,None,['1'],0,[0.1390998000279069],16.68979550001677,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
4,1,TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,16.898033499950543,None,['1'],0,[0.15431260003242642],16.898033499950543,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
D,2,TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,17.12754080002196,None,['1'],0,[0.17966589995194227],17.12754080002196,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
5,3,TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,17.384615699993446,None,['1'],0,[0.190268800011836],17.384615699993446,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
E,1,TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,17.65493570000399,None,['1'],0,[0.1698096999898553],17.65493570000399,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
6,3,TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,17.91198069998063,None,['1'],0,[0.14035250002052635],17.91198069998063,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
F,2,TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,18.14119639992714,None,['1'],0,[0.1572009000228718],18.14119639992714,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
7,1,TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,18.377381999976933,None,['1'],0,[0.1438422000501305],18.377381999976933,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
G,3,TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,None,0,13,13,13,,,,,18.61364150000736,None,['1'],0,[0.10999469994567335],18.61364150000736,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
8,1,TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,None,0,14,14,14,,,,,18.800755799980834,None,['1'],0,[0.14750389999244362],18.800755799980834,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
H,2,TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,None,0,15,15,15,,,,,19.037062200019136,None,['1'],0,[0.12713309994433075],19.037062200019136,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
9,3,TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,None,0,16,16,16,,,,,19.25328519998584,None,['1'],0,[0.12483840005006641],19.25328519998584,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
I,2,TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,None,0,17,17,17,,,,,19.474058899912052,None,['1'],0,[0.14971679996233433],19.474058899912052,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
10,1,TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus16.png,None,0,18,18,18,,,,,19.710421000025235,None,['1'],0,[0.1322091999463737],19.710421000025235,None,,001,2021_Nov_03_1225,TMTAB,2021.2.3,143.78434647738433,
