NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,0,0,0,0,,,,,7.707383499946445,None,7.707383499946445,None,8.17269519995898,None,"['3', '1', '2']",1,"[0.2279927000636235, 0.33783940004650503, 0.432856300030835]",8.17269519995898,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,0,1,1,1,,,,,,,,,8.707046799943782,None,"['3', '1']",1,"[-0.018381499918177724, 0.11384650005493313]",8.707046799943782,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,8.901911100023426,None,['2'],1,[-0.020585000049322844],8.901911100023426,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,8.984913500025868,None,['3'],1,[-0.013607800006866455],8.984913500025868,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,9.06146809994243,None,"['1', '2']",1,"[0.02877119998447597, 0.10463110008276999]",9.06146809994243,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,9.256704699946567,None,['3'],1,[-0.0033438999671489],9.256704699946567,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,9.33230329991784,None,"['1', '2']",1,"[0.0561319999396801, 0.1260287999175489]",9.33230329991784,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,9.55478729994502,None,"['3', '1']",1,"[-0.02666279999539256, 0.11782939999829978]",9.55478729994502,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,9.749039600021206,None,['2'],1,[0.0008684999775141478],9.749039600021206,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,9.825240999925882,None,"['3', '1']",1,"[-0.011172200087457895, 0.12336859991773963]",9.825240999925882,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,10.02009210002143,None,['2'],1,[-0.014163200045004487],10.02009210002143,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,10.096853099996224,None,['3'],1,[0.0021715000038966537],10.096853099996224,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,10.186715699965134,None,"['1', '2']",1,"[0.04546489997301251, 0.1256765000289306]",10.186715699965134,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,0,13,13,13,,,,,,,,,10.401914699934423,None,['3'],1,[-0.010697999969124794],10.401914699934423,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,0,14,14,14,,,,,,,,,10.47822879999876,None,['1'],1,[0.04926759994123131],10.47822879999876,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,0,15,15,15,,,,,,,,,10.60326200001873,None,"['2', '3']",1,"[-0.02243780007120222, 0.0823185999179259]",10.60326200001873,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,10.76291879999917,None,"['1', '2']",1,"[0.06986119993962348, 0.1330479000462219]",10.76291879999917,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,11.02055679995101,None,['3'],1,[-0.01712600002065301],11.02055679995101,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,11.112254099920392,None,['1'],1,[0.0309776000212878],11.112254099920392,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,11.243617299944162,None,"['2', '3']",1,"[-0.045253299991600215, 0.06407209997996688]",11.243617299944162,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
