NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,0,0,0,0,,,,,,,,,9.406593500054441,None,9.406593500054441,None,10.92680030001793,None,['2'],1,[1.71465460001491],10.92680030001793,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,0,1,1,1,,,,,,,,,,,,,12.725069500040263,None,"['2', '1']",1,"[0.30131220002658665, 0.45232989999931306]",12.725069500040263,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,,,,,13.2881597999949,None,"['3', '1', '3', '1', '2']",1,"[-0.060633699991740286, 0.12788859999272972, 0.34265810006763786, 0.4996459000976756, 0.5546254999935627]",13.2881597999949,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,,,,,13.941350299981423,None,['3'],1,[0.03210509999189526],13.941350299981423,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,,,,,14.059319899999537,None,"['1', '2']",1,"[0.11685890005901456, 0.1816001000115648]",14.059319899999537,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,,,,,14.343180100084282,None,['3'],1,[-0.002671400085091591],14.343180100084282,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,,,,,14.426903099985793,None,"['1', '2', '3', '1', '2']",1,"[1.8825411000289023, 2.0792799000628293, 2.0841189000057057, 2.2490460000699386, 2.395313800079748]",14.426903099985793,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,,,,,16.933443100075237,None,"['3', '1']",1,"[0.062884800019674, 0.14093559992033988]",16.933443100075237,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,,,,,17.1558336999733,None,['2'],1,[0.0228652999503538],17.1558336999733,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,,,,,17.259780600084923,None,"['3', '1']",1,"[-0.016566800069995224, 0.1596064999466762]",17.259780600084923,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,,,,,17.558803000021726,None,['2'],1,[0.003355700056999922],17.558803000021726,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,,,,,17.64944760000799,None,['3'],1,[-0.06053659995086491],17.64944760000799,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,,,,,17.725561800063588,None,"['1', '2']",1,"[1.1182848999742419, 1.1971206000307575]",17.725561800063588,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,0,13,13,13,,,,,,,,,,,,,19.0097452000482,None,['3'],1,[-0.0064839000115171075],19.0097452000482,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,0,14,14,14,,,,,,,,,,,,,19.09339420008473,None,['1'],1,[0.09377139993011951],19.09339420008473,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,0,15,15,15,,,,,,,,,,,,,19.26680059998762,None,['3'],1,[0.2494650000007823],19.26680059998762,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,,,,,19.593570800032467,None,"['3', '1', '2']",1,"[2.2393859999720007, 3.4832727999892086, 3.6397333999630064]",19.593570800032467,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,,,,,23.337490900070406,None,['3'],1,[0.011317700031213462],23.337490900070406,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,,,,,23.426696600043215,None,['1'],1,[0.15795360004995018],23.426696600043215,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,,,,,23.66965410008561,None,"['2', '3']",1,"[0.026047099963761866, 0.12065169995184988]",23.66965410008561,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,,,,,23.905940400087275,None,['1'],1,[0.041733100078999996],23.905940400087275,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,0,21,21,21,,,,,,,,,,,,,24.03773400001228,None,"['2', '3']",1,"[-0.03672640002332628, 0.11108519998379052]",24.03773400001228,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,0,22,22,22,,,,,,,,,,,,,24.26015670003835,None,['1'],1,[0.6495338999666274],24.26015670003835,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,0,23,23,23,,,,,,,,,,,,,24.988830500049517,None,['2'],1,[0.2967617999529466],24.988830500049517,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,0,24,24,24,,,,,,,,,,,,,25.370691500022076,None,['3'],1,[0.03780559997539967],25.370691500022076,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,0,25,25,25,,,,,,,,,,,,,25.488844700041227,None,None,1,,25.488844700041227,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
A,['3'],TMTstop-A_1_a.png,TMTstop-A_1_a.png,TMTstop-A_1_a.png,10,,,,,0,0,0,0,,,,,,,,,29.55916459998116,None,"['1', '2', '3']",1,"[0.918511199997738, 1.0464650000212714, 1.1025852001039311]",29.55916459998116,None,26.486353400046937,None,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
B,['1'],TMTstop-A_1_a.png,TMTstop-A_1_afirstgreen.png,TMTstop-A_1_afirstred.png,10,,,,,0,1,1,1,,,,,,,,,30.759641300071962,None,['1'],1,[0.12652249995153397],30.759641300071962,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
C,['3'],TMTstop-A_1_alinestimulus0.png,TMTstop-A_1_agreenlinestimulus0.png,TMTstop-A_1_aredlinestimulus0.png,10,,,,,0,2,2,2,,,,,,,,,30.968249700032175,None,"['2', '3']",1,"[-0.05414060002658516, 0.08206719998270273]",30.968249700032175,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
D,['1'],TMTstop-A_1_alinestimulus1.png,TMTstop-A_1_agreenlinestimulus1.png,TMTstop-A_1_aredlinestimulus1.png,10,,,,,0,3,3,3,,,,,,,,,31.121054799994454,None,['1'],1,[0.09222970006521791],31.121054799994454,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
E,['2'],TMTstop-A_1_alinestimulus2.png,TMTstop-A_1_agreenlinestimulus2.png,TMTstop-A_1_aredlinestimulus2.png,10,,,,,0,4,4,4,,,,,,,,,31.287617700058036,None,['2'],1,[-0.023943200008943677],31.287617700058036,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
F,['1'],TMTstop-A_1_alinestimulus3.png,TMTstop-A_1_agreenlinestimulus3.png,TMTstop-A_1_aredlinestimulus3.png,10,,,,,0,5,5,5,,,,,,,,,31.356687400024384,None,"['3', '1', '2', '3', '1']",1,"[0.02263460005633533, 0.20019530004356056, 0.22742770006880164, 0.36600999999791384, 0.4971067999722436]",31.356687400024384,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
G,['2'],TMTstop-A_1_alinestimulus4.png,TMTstop-A_1_agreenlinestimulus4.png,TMTstop-A_1_aredlinestimulus4.png,10,,,,,0,6,6,6,,,,,,,,,31.997332800063305,None,['2'],1,[-0.08898609993048012],31.997332800063305,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
H,['3'],TMTstop-A_1_alinestimulus5.png,TMTstop-A_1_agreenlinestimulus5.png,TMTstop-A_1_aredlinestimulus5.png,10,,,,,0,7,7,7,,,,,,,,,32.10668660001829,None,"['2', '3']",1,"[0.5570227999705821, 0.7184811000479385]",32.10668660001829,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
I,['1'],TMTstop-A_1_alinestimulus6.png,TMTstop-A_1_agreenlinestimulus6.png,TMTstop-A_1_aredlinestimulus6.png,10,,,,,0,8,8,8,,,,,,,,,32.94144199998118,None,"['2', '1']",1,"[0.2707662000320852, 0.30566760001238436]",32.94144199998118,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
J,['3'],TMTstop-A_1_alinestimulus7.png,TMTstop-A_1_agreenlinestimulus7.png,TMTstop-A_1_aredlinestimulus7.png,10,,,,,0,9,9,9,,,,,,,,,33.329143200069666,None,['3'],1,[0.08369349990971386],33.329143200069666,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
K,['1'],TMTstop-A_1_alinestimulus8.png,TMTstop-A_1_agreenlinestimulus8.png,TMTstop-A_1_aredlinestimulus8.png,10,,,,,0,10,10,10,,,,,,,,,33.495402900036424,None,['1'],1,[0.04606580000836402],33.495402900036424,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
