NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,5.833777799998643,None,5.833777799998643,None,7.366656199999852,None,10.417022699999507,None,1,3.203666699999303,10.417022699999507,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,13.7024797999984,None,2,0.5208344999991823,13.7024797999984,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,14.299303400002827,None,3,0.40649800000392133,14.299303400002827,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,14.785490300004312,None,1,3.8690711000017473,14.785490300004312,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,18.743593700004567,None,2,0.7764999000064563,18.743593700004567,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,19.611521799997718,None,3,0.017838800005847588,19.611521799997718,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,19.708956900001795,None,1,0.11077730000397423,19.708956900001795,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,19.903089600004023,None,3,0.6333482999980333,19.903089600004023,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,20.625906599998416,None,2,0.7552299000017229,20.625906599998416,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,21.479805599999963,None,3,0.039068199999746867,21.479805599999963,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,21.591370499998447,None,1,0.3723290999987512,21.591370499998447,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,22.03527810000378,None,2,2.914088300000003,22.03527810000378,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,25.03516820000368,None,None,,25.03516820000368,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,26.034821039998498,None,None,26.034821039998498,None,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1,0,1,0,0,0,0,0,,,,,,,26.10482410000259,None,1,3.4657187999982852,26.10482410000259,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,29.68116949999967,None,2,0.23387639999418752,29.68116949999967,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
