NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,6.207743999999366,None,6.207743999999366,None,6.670736100000795,None,9.721615599999495,None,1,0.43846460000349907,9.721615599999495,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.235489399994549,None,2,0.2724898000014946,10.235489399994549,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,10.61049799999455,None,3,0.2777818999966257,10.61049799999455,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,10.958190999997896,None,1,0.08168540000042412,10.958190999997896,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,11.118387299997266,None,2,0.37690160000056494,11.118387299997266,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,11.596737899999425,None,3,0.33788300000014715,11.596737899999425,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,12.013566800000262,None,1,0.09916530000191415,12.013566800000262,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,12.194310200000473,None,3,0.12071660000219708,12.194310200000473,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,12.395352799998363,None,2,0.238230900002236,12.395352799998363,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,12.708063300000504,None,3,0.005787599999166559,12.708063300000504,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,12.79161309999472,None,1,0.11356610000075307,12.79161309999472,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,12.979007599999022,None,2,0.006454399997892324,12.979007599999022,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,13.06217789999937,None,3,0.029054400001768954,13.06217789999937,None,,001,2021_Nov_15_1437,TMTAB,2021.2.3,143.1469131133573,
