NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,7.56523959999322,None,7.56523959999322,None,8.075885400001425,None,11.149776699996437,None,1,0.45047019999765325,11.149776699996437,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,11.70980719999352,None,2,0.023223700001835823,11.70980719999352,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,11.821478199999547,None,3,0.02778819999366533,11.821478199999547,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,11.932783299998846,None,1,0.052346500000567175,11.932783299998846,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,12.072028800001135,None,2,0.3051077999989502,12.072028800001135,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,12.487730399996508,None,3,0.01422420000017155,12.487730399996508,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,12.592611799991573,None,1,0.05901840000296943,12.592611799991573,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,12.745819399991888,None,3,0.09833449999860022,12.745819399991888,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,12.960403999997652,None,2,0.13575909999781288,12.960403999997652,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,13.224283000003197,None,3,0.36549689999083057,13.224283000003197,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,13.710611200003768,None,1,0.07000419999531005,13.710611200003768,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,13.877383800005191,None,2,0.36199089999718126,13.877383800005191,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,14.328475599992089,None,3,0.038064499996835366,14.328475599992089,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,15.45728919999965,None,x,1.5325319000112358,15.45728919999965,None,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1,0,1,0,0,0,0,0,,,,,,,,,,,17.056686399999307,None,1,0.7794326000002911,17.056686399999307,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,,,,,17.932425799997873,None,2,0.06057390000205487,17.932425799997873,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,,,,,18.07901899999706,None,3,0.31494840000232216,18.07901899999706,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,,,,,18.51560509999399,None,1,0.026508499999181367,18.51560509999399,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,,,,,18.627009399991948,None,2,0.2929160000057891,18.627009399991948,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,,,,,19.008642200002214,None,3,0.034101400000508875,19.008642200002214,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,,,,,19.127582699991763,None,1,0.06836100001237355,19.127582699991763,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,,,,,19.279814699999406,None,3,0.09538119999342598,19.279814699999406,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,,,,,19.4537788000016,None,2,0.17549210001016036,19.4537788000016,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,,,,,19.751933399995323,None,3,0.8852650000044378,19.751933399995323,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,,,,,20.723843500003568,None,1,0.5942061999958241,20.723843500003568,None,,,,,,,,001,2021_Nov_17_1059,TMTAB,2021.2.3,143.53957100878623,
