NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,5.821384999988368,None,23.452561599988258,None,2,0.9936083999928087,23.452561599988258,None,,,,,,,,,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,24.468430899985833,None,27.50977609999245,None,1,0.5114256999950157,27.50977609999245,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,28.099941299995407,None,2,0.009577199991326779,28.099941299995407,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,28.183777499987627,None,3,0.013116100002662279,28.183777499987627,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,28.26695319999999,None,1,0.04920700000366196,28.26695319999999,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,28.406707599991933,None,2,0.24749749999318738,28.406707599991933,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,28.75978039999609,None,3,0.0030106999911367893,28.75978039999609,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,28.843540699992445,None,1,0.05368389999784995,28.843540699992445,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,28.968493999986094,None,3,0.09488970000529662,28.968493999986094,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,29.135024699993664,None,2,0.13151019999349955,29.135024699993664,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,29.350424399992335,None,3,0.033240399992791936,29.350424399992335,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,29.461614199986798,None,1,0.348935200003325,29.461614199986798,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,29.88496219999797,None,2,0.43198510000365786,29.88496219999797,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,30.399160099987057,None,None,,30.399160099987057,None,,001,2021_Nov_17_1229,TMTAB,2021.2.3,144.07955497572496,
