NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,6.62915189999967,None,6.62915189999967,None,7.412939400000141,None,2,1,3.271030200000496,7.412939400000141,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,10.730746700000054,None,3,1,0.6097288000000844,10.730746700000054,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,11.397745700000087,None,2,0,0.5598989000000074,11.397745700000087,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,12.014696000000185,None,2,1,0.8847408000001451,12.014696000000185,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,12.948526799999854,None,2,0,0.4882870000001276,12.948526799999854,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,13.49865200000022,None,2,1,0.3927349999994476,13.49865200000022,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,13.948910099999921,None,2,0,0.3552261000004364,13.948910099999921,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,14.36581219999971,None,2,0,0.32285160000083124,14.36581219999971,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,14.749285699999746,None,2,0,0.24590400000033696,14.749285699999746,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,15.049431200000072,None,2,1,0.2072227999997267,15.049431200000072,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,15.316148500000054,None,2,0,0.16352290000031644,15.316148500000054,None,,001,2021_Oct_21_1752,TMTAB,2021.2.3,59.97551799347096,
