NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,StimTimeDuration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,10,0,0,0,0,6.437085199999274,None,6.437085199999274,None,7.14526719999958,None,2,1,0.560497899999973,7.14526719999958,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
A,3,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,10,0,1,1,1,,,,,7.769856399998389,None,3,1,0.6994156999990082,7.769856399998389,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
2,2,TMT-B_linestimulus0.png,TMT-B_greenlinestimulus0.png,TMT-B_redlinestimulus0.png,10,0,2,2,2,,,,,8.554753199998231,None,2,1,0.33944160000100965,8.554753199998231,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
B,3,TMT-B_linestimulus1.png,TMT-B_greenlinestimulus1.png,TMT-B_redlinestimulus1.png,10,0,3,3,3,,,,,8.978176699998585,None,3,1,0.26307210000049963,8.978176699998585,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
3,1,TMT-B_linestimulus2.png,TMT-B_greenlinestimulus2.png,TMT-B_redlinestimulus2.png,10,0,4,4,4,,,,,9.318331999998918,None,1,1,0.2216374999989057,9.318331999998918,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
C,2,TMT-B_linestimulus3.png,TMT-B_greenlinestimulus3.png,TMT-B_redlinestimulus3.png,10,0,5,5,5,,,,,9.61715859999822,None,2,1,0.3118130000002566,9.61715859999822,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
4,1,TMT-B_linestimulus4.png,TMT-B_greenlinestimulus4.png,TMT-B_redlinestimulus4.png,10,0,6,6,6,,,,,10.013106999998854,None,3,0,0.3475901999991038,10.013106999998854,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
D,2,TMT-B_linestimulus5.png,TMT-B_greenlinestimulus5.png,TMT-B_redlinestimulus5.png,10,0,7,7,7,,,,,10.436588699998538,None,2,1,0.6393664999995963,10.436588699998538,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
5,3,TMT-B_linestimulus6.png,TMT-B_greenlinestimulus6.png,TMT-B_redlinestimulus6.png,10,0,8,8,8,,,,,11.172952999999325,None,2,0,0.831665100000464,11.172952999999325,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
E,1,TMT-B_linestimulus7.png,TMT-B_greenlinestimulus7.png,TMT-B_redlinestimulus7.png,10,0,9,9,9,,,,,12.104180199999973,None,2,0,0.3496539000007033,12.104180199999973,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
6,2,TMT-B_linestimulus8.png,TMT-B_greenlinestimulus8.png,TMT-B_redlinestimulus8.png,10,0,10,10,10,,,,,12.540606799999296,None,2,1,0.7339590000010503,12.540606799999296,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
F,3,TMT-B_linestimulus9.png,TMT-B_greenlinestimulus9.png,TMT-B_redlinestimulus9.png,10,0,11,11,11,,,,,13.353042799999457,None,2,0,2.3141618999998173,13.353042799999457,None,,001,2021_Oct_27_1343,TMTAB,2021.2.3,143.76553566198453,
