NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,displaylasttrialresult.started,displaylasttrialresult.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,10,0,0,0,0,,,,,6.502503900001102,None,6.502503900001102,None,7.183459500000026,None,2,1,0.5090266999995947,7.183459500000026,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
A,3,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,10,0,1,1,1,,,,,,,,,7.752982200001497,None,3,1,0.39653869999892777,7.752982200001497,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
2,2,TMT-B_linestimulus0.png,TMT-B_greenlinestimulus0.png,TMT-B_redlinestimulus0.png,10,0,2,2,2,,,,,,,,,8.225644000000102,None,3,0,0.4172813999994105,8.225644000000102,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
B,3,TMT-B_linestimulus1.png,TMT-B_greenlinestimulus1.png,TMT-B_redlinestimulus1.png,10,0,3,3,3,,,,,,,,,8.725011800001084,None,2,0,0.36169520000112243,8.725011800001084,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
3,1,TMT-B_linestimulus2.png,TMT-B_greenlinestimulus2.png,TMT-B_redlinestimulus2.png,10,0,4,4,4,,,,,,,,,9.176750000000538,None,1,1,0.287087499998961,9.176750000000538,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
C,2,TMT-B_linestimulus3.png,TMT-B_greenlinestimulus3.png,TMT-B_redlinestimulus3.png,10,0,5,5,5,,,,,,,,,9.551341400001547,None,2,1,0.3133161999994627,9.551341400001547,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
4,1,TMT-B_linestimulus4.png,TMT-B_greenlinestimulus4.png,TMT-B_redlinestimulus4.png,10,0,6,6,6,,,,,,,,,9.95389140000043,None,3,0,0.36831030000030296,9.95389140000043,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
D,2,TMT-B_linestimulus5.png,TMT-B_greenlinestimulus5.png,TMT-B_redlinestimulus5.png,10,0,7,7,7,,,,,,,,,10.405504800000926,None,2,1,0.4351778000000195,10.405504800000926,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
5,3,TMT-B_linestimulus6.png,TMT-B_greenlinestimulus6.png,TMT-B_redlinestimulus6.png,10,0,8,8,8,,,,,,,,,10.926163400001315,None,2,0,2.705858100000114,10.926163400001315,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
E,1,TMT-B_linestimulus7.png,TMT-B_greenlinestimulus7.png,TMT-B_redlinestimulus7.png,10,0,9,9,9,,,,,,,,,13.711505400000533,None,2,0,0.4365425999985746,13.711505400000533,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
6,2,TMT-B_linestimulus8.png,TMT-B_greenlinestimulus8.png,TMT-B_redlinestimulus8.png,10,0,10,10,10,,,,,,,,,14.232979900001737,None,2,1,0.6094857000007323,14.232979900001737,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
F,3,TMT-B_linestimulus9.png,TMT-B_greenlinestimulus9.png,TMT-B_redlinestimulus9.png,10,0,11,11,11,,,,,,,,,14.912409200000184,None,2,0,1.718502300000182,14.912409200000184,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
None,None,None,TMT-B_greenlinestimulus10.png,TMT-B_redlinestimulus10.png,1,0,12,12,12,,,,,,,,,16.710875300001135,None,None,1,,16.710875300001135,None,,,,,,001,2021_Oct_27_1451,TMTAB,2021.2.3,143.4458857561913,
,,,,,,,,,,,,,,,,,,,,,,,,,18.717074800000773,None,17.72256760000164,18.72364050000033,,,,,,,
