NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,0,0,0,0,9.820252399993478,None,9.820252399993478,None,10.476853499989375,None,1,1,0.9316028999892296,10.476853499989375,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,0,1,1,1,,,,,None,None,None,0,,None,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,11.635304399998859,None,1,1,0.8154587000026368,11.635304399998859,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,None,None,None,0,,None,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,12.626981199995498,None,1,0,0.6264659000007669,12.626981199995498,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,13.35669409998809,None,1,1,0.8510705999942729,13.35669409998809,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,None,None,None,0,,None,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,14.427481199993053,None,1,0,0.7778849999886006,14.427481199993053,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,15.316530999989482,None,1,0,1.6937926999962656,15.316530999989482,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,17.111673099992913,None,2,0,0.8098958999908064,17.111673099992913,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,18.02256739999575,None,2,1,0.5321223000064492,18.02256739999575,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,None,None,None,0,,None,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,18.739000199988368,None,2,0,0.47258359999977984,18.739000199988368,None,,001,2021_Oct_28_1605,TMTAB,2021.2.3,94.9074557382044,
