Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,1,['2'],2,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,1,1,,,,,,,,,0,0,0,0,0,0,0,0,1,1,19.1136330999434,None,['2'],1,[0.6995703999418765],19.1136330999434,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,2,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,1,2,,,,,,,,,0,0,0,0,0,1,1,1,1,1,19.89519129996188,None,['1'],1,[0.11256949999369681],19.89519129996188,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,3,['2'],2,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,1,3,,,,,,,,,0,0,0,0,0,2,2,2,3,0,20.08659729990177,None,"['3', '1', '2']",1,"[0.05371910007670522, 0.24207550007849932, 0.3034512000158429]",20.08659729990177,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,1,4,,,,,,,,,0,0,0,0,0,3,3,3,1,1,20.50982529995963,None,['3'],1,[-0.00287249987013638],20.50982529995963,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,5,['2'],2,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,1,5,,,,,,,,,0,0,0,0,0,4,4,4,2,0,20.593175600050017,None,"['1', '2']",1,"[0.10119040007703006, 0.15099270013161004]",20.593175600050017,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,1,6,,,,,,,,,0,0,0,0,0,5,5,5,1,1,20.822872699936852,None,['3'],1,[0.027851799968630075],20.822872699936852,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,7,['2'],2,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,1,7,,,,,,,,,0,0,0,0,0,6,6,6,2,0,20.934711399953812,None,"['1', '2']",1,"[0.0891327999997884, 0.13502139993943274]",20.934711399953812,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,8,['1'],1,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,1,8,,,,,,,,,0,0,0,0,0,7,7,7,2,0,21.183090599952266,None,"['3', '1']",1,"[0.0011859999503940344, 0.19317049998790026]",21.183090599952266,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,9,['2'],2,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,1,9,,,,,,,,,0,0,0,0,0,8,8,8,1,1,21.474853300023824,None,['2'],1,[-0.046157600125297904],21.474853300023824,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,10,['1'],1,TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,1,10,,,,,,,,,0,0,0,0,0,9,9,9,2,0,21.55113649996929,None,"['3', '1']",1,"[0.004490999970585108, 0.17994169984012842]",21.55113649996929,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
