NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.734896500129253,None,16.56226080004126,None,1,0.7798092998564243,16.56226080004126,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.368306500138715,None,20.416559800039977,None,1,6.314754399936646,20.416559800039977,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.840055200038478,None,2,0.7223696999717504,26.840055200038478,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.65349080017768,None,3,0.31191089982166886,27.65349080017768,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.064040299970657,None,1,0.07012700010091066,28.064040299970657,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.250973999965936,None,2,0.021404400002211332,28.250973999965936,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.376261700177565,None,3,2.005796000128612,28.376261700177565,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.48047690000385,None,1,1.3238491998054087,30.48047690000385,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.925407100003213,None,3,1.1515705999918282,31.925407100003213,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.181462900014594,None,2,0.6025336999446154,33.181462900014594,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.86943590012379,None,3,0.5862411998677999,33.86943590012379,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.534561099950224,None,1,1.442768600070849,34.534561099950224,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11090390011668,None,2,2.3251919001340866,36.11090390011668,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.52072419994511,None,None,,38.52072419994511,None,,,,,,,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6363180000335,None,2,1.0216263998299837,39.6363180000335,None,,,,,,,,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,40.726624600123614,None,,,,,,,,,,,,,43.72440900001675,None,['2'],1,[1.4752138999756426],43.72440900001675,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.29893150017597,None,['1'],1,[0.35506999981589615],45.29893150017597,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.735799100017175,None,['2'],1,[0.42312019993551075],45.735799100017175,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.24341820017435,None,['3'],1,[1.9166168000083417],46.24341820017435,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.24321150011383,None,"['3', '1', '2']",1,"[1.3932773999404162, 2.7490672001149505, 3.9396707001142204]",48.24321150011383,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.29923380003311,None,['3'],1,[1.2216864998918027],52.29923380003311,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.617535799974576,None,['2'],1,[1.428028300171718],53.617535799974576,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.13864350016229,None,['1'],1,[1.1817385000176728],55.13864350016229,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4035003001336,None,['2'],1,[0.4443410001695156],56.4035003001336,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
