NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim_practice.started_mean,Stim_practice.started_raw,Stim_practice.started_std,Stim_practice.stopped_raw,key_resp_practice.keys_raw,key_resp_practice.rt_mean,key_resp_practice.rt_raw,key_resp_practice.rt_std,key_resp_practice.started_mean,key_resp_practice.started_raw,key_resp_practice.started_std,key_resp_practice.stopped_raw,order
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1.0,11.277748107910156,11.277748107910156,0.0,,'1',1.0298452377319336,1.0298452377319336,0.0,11.277748107910156,11.277748107910156,0.0,,0.0
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1.0,12.395139694213867,12.395139694213867,0.0,,'2',0.3925904929637909,0.3925904929637909,0.0,12.395139694213867,12.395139694213867,0.0,,1.0
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1.0,12.879151344299316,12.879151344299316,0.0,,'3',0.015342200174927711,0.015342200174927711,0.0,12.879151344299316,12.879151344299316,0.0,,2.0
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1.0,12.979228973388672,12.979228973388672,0.0,,'1',0.06238590180873871,0.06238590180873871,0.0,12.979228973388672,12.979228973388672,0.0,,3.0
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1.0,13.129335403442383,13.129335403442383,0.0,,'2',0.3205636143684387,0.3205636143684387,0.0,13.129335403442383,13.129335403442383,0.0,,4.0
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1.0,13.579546928405762,13.579546928405762,0.0,,'3',0.33153799176216125,0.33153799176216125,0.0,13.579546928405762,13.579546928405762,0.0,,5.0
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1.0,13.996461868286133,13.996461868286133,0.0,,'1',0.23590050637722015,0.23590050637722015,0.0,13.996461868286133,13.996461868286133,0.0,,6.0
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1.0,14.3134765625,14.3134765625,0.0,,'3',0.0874973013997078,0.0874973013997078,0.0,14.3134765625,14.3134765625,0.0,,7.0
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1.0,14.496596336364746,14.496596336364746,0.0,,'2',0.13310359418392181,0.13310359418392181,0.0,14.496596336364746,14.496596336364746,0.0,,8.0
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1.0,14.729981422424316,14.729981422424316,0.0,,'3',0.005575200077146292,0.005575200077146292,0.0,14.729981422424316,14.729981422424316,0.0,,9.0
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1.0,14.830596923828125,14.830596923828125,0.0,,'1',0.05254869908094406,0.05254869908094406,0.0,14.830596923828125,14.830596923828125,0.0,,10.0
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1.0,14.980368614196777,14.980368614196777,0.0,,'2',0.3013836145401001,0.3013836145401001,0.0,14.980368614196777,14.980368614196777,0.0,,11.0
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1.0,15.363722801208496,15.363722801208496,0.0,,'1',0.48841148614883423,0.48841148614883423,0.0,15.363722801208496,15.363722801208496,0.0,,12.0

extraInfo
participant,
session,001
date,2022_Jan_24_1444
expName,TMTAstop-A
psychopyVersion,2021.2.3
frameRate,59.9514633305028
