NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,Block_file,Condition_rows,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Attempts,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,3,0.5655114999972284,7.778961700038053,None,,,,,,,,,,,,,001,2022_Jan_24_1503,TMTAstop-A,2021.2.3,59.8431869172161,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,11.464022200088948,None,1,0.4760526999598369,11.464022200088948,None,,,,,,,001,2022_Jan_24_1503,TMTAstop-A,2021.2.3,59.8431869172161,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,12.031633000005968,None,2,0.2970483999233693,12.031633000005968,None,,,,,,,001,2022_Jan_24_1503,TMTAstop-A,2021.2.3,59.8431869172161,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,12.431559500051662,None,3,0.40511789999436587,12.431559500051662,None,,,,,,,001,2022_Jan_24_1503,TMTAstop-A,2021.2.3,59.8431869172161,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,12.931917100097053,None,1,0.07118850003462285,12.931917100097053,None,,,,,,,001,2022_Jan_24_1503,TMTAstop-A,2021.2.3,59.8431869172161,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,13.098750400007702,None,2,0.324087499990128,13.098750400007702,None,,,,,,,001,2022_Jan_24_1503,TMTAstop-A,2021.2.3,59.8431869172161,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,13.515571300056763,None,3,0.284694500034675,13.515571300056763,None,,,,,,,001,2022_Jan_24_1503,TMTAstop-A,2021.2.3,59.8431869172161,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,13.898939900100231,None,1,0.04281679994892329,13.898939900100231,None,,,,,,,001,2022_Jan_24_1503,TMTAstop-A,2021.2.3,59.8431869172161,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,14.0323677000124,None,3,0.0848952999804169,14.0323677000124,None,,,,,,,001,2022_Jan_24_1503,TMTAstop-A,2021.2.3,59.8431869172161,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,14.199070700095035,None,2,0.08623190002981573,14.199070700095035,None,,,,,,,001,2022_Jan_24_1503,TMTAstop-A,2021.2.3,59.8431869172161,
