NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,6.537094500032254,None,6.537094500032254,None,7.827230300055817,None,['2'],True,[0.7679265999468043],7.827230300055817,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
A,['1'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1.png,10,0,1,1,1,,,,,8.772648600046523,None,"['3', '1']",True,"[0.2557160999858752, 0.5576710000168532]",8.772648600046523,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
2,['3'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1firstred.png,10,0,2,2,2,,,,,9.488492000033148,None,"['2', '3']",True,"[0.1032746999990195, 0.5162062000017613]",9.488492000033148,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
B,['2'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus0.png,10,0,3,3,3,,,,,10.161507099983282,None,"['1', '2']",True,"[0.14128359989263117, 0.34833009995054454]",10.161507099983282,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
3,['1'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus1.png,10,0,4,4,4,,,,,10.667906500049867,None,"['3', '1']",True,"[-0.005141400033608079, 0.22481419995892793]",10.667906500049867,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
C,['2'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus2.png,10,0,5,5,5,,,,,11.050279800081626,None,['2'],True,[-0.07880650006700307],11.050279800081626,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
4,['1'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus3.png,10,0,6,6,6,,,,,11.202887500054203,None,"['3', '1']",True,"[-0.09431320009753108, 0.09025799995288253]",11.202887500054203,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
D,['2'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus4.png,10,0,7,7,7,,,,,11.459977500024252,None,['2'],True,[-0.09810179995838553],11.459977500024252,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
5,['3'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus5.png,10,0,8,8,8,,,,,11.59242230001837,None,['3'],True,[-0.10121679992880672],11.59242230001837,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
E,['1'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus6.png,10,0,9,9,9,,,,,11.730991800082847,None,"['1', '2', '3', '1']",True,"[-0.10781680000945926, -0.020190600072965026, 0.08019299991428852, 0.24968689994420856]",11.730991800082847,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
6,['3'],TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus7.png,10,0,10,10,10,,,,,12.120191400055774,None,"['2', '3']",True,"[-0.05921660002786666, 0.055827399948611856]",12.120191400055774,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
F,['2'],TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus8.png,10,0,11,11,11,,,,,12.348930899985135,None,"['1', '2']",True,"[-0.02143429999705404, 0.03909619990736246]",12.348930899985135,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
7,['1'],TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus9.png,1,0,12,12,12,,,,,12.536315700039268,None,"['3', '1']",True,"[-0.026827999972738326, 0.11661540006753057]",12.536315700039268,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
G,['3'],TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus10.png,None,0,13,13,13,,,,,12.807250900077634,None,"['2', '3']",True,"[-0.09577870008070022, 0.02238829992711544]",12.807250900077634,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
8,['1'],TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus11.png,None,0,14,14,14,,,,,12.994721100083552,None,['1'],True,[-0.01960640004836023],12.994721100083552,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
H,['2'],TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus12.png,None,0,15,15,15,,,,,13.133642000029795,None,['2'],True,[-0.08823670004494488],13.133642000029795,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
9,['3'],TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus13.png,None,0,16,16,16,,,,,13.279570800019428,None,['3'],True,[-0.1212013999465853],13.279570800019428,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
I,['2'],TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus14.png,None,0,17,17,17,,,,,13.425626100040972,None,"['1', '2']",True,"[-0.10942650004290044, -0.01424849999602884]",13.425626100040972,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
10,['1'],TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus15.png,None,0,18,18,18,,,,,13.571062300004996,None,"['3', '1']",True,"[-0.06841469998471439, 0.08681460004299879]",13.571062300004996,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
J,['2'],TMTstop-B_1_1linestimulus17.png,TMTstop-B_1_1greenlinestimulus17.png,TMTstop-B_1_1redlinestimulus16.png,None,0,19,19,19,,,,,13.84200220007915,None,['2'],True,[-0.1018499000929296],13.84200220007915,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
11,['3'],TMTstop-B_1_1linestimulus18.png,TMTstop-B_1_1greenlinestimulus18.png,TMTstop-B_1_1redlinestimulus17.png,None,0,20,20,20,,,,,13.988184500019997,None,['3'],True,[-0.13513760000932962],13.988184500019997,None,,001,2021_Nov_03_1532,TMTAB,2021.2.3,143.86046694565817,
