NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,,,,,24.015628800028935,None,24.015628800028935,None,26.5363041999517,None,"['1', '2']",1,"[22.074560299981385, 28.42314870003611]",26.5363041999517,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
A,['1'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,0,1,1,1,,,,,,,,,55.085848100017756,None,['1'],1,[23.936663200031035],55.085848100017756,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
2,['3'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,79.13479499996174,None,['3'],1,[3.0145630000624806],79.13479499996174,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
B,['2'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,82.25672950001899,None,['2'],1,[8.382047499995679],82.25672950001899,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
3,['1'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,90.73820020002313,None,"['2', '3', '2', '3', '2', '3', '2', '3', '1']",1,"[6.448265900020488, 9.255733500001952, 9.853095000027679, 10.673055900027975, 11.1412224000087, 11.618652099976316, 11.970262399991043, 12.255596000002697, 20.62954970006831]",90.73820020002313,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
C,['2'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,111.47888519999105,None,['2'],1,[2.645710099954158],111.47888519999105,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
4,['1'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,114.23096189997159,None,"['3', '1']",1,"[0.4462660999270156, 0.7648671999340877]",114.23096189997159,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
D,['2'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,115.11304059997201,None,['2'],1,[0.0419894999358803],115.11304059997201,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
5,['3'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,115.27919789997395,None,['3'],1,[-0.03509390004910529],115.27919789997395,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
E,['1'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,115.38174930005334,None,['1'],1,[0.14256080007180572],115.38174930005334,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
