NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,7.689696299999923,None,7.689696299999923,None,9.608924399999523,None,3,0,1.003576000002795,9.608924399999523,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,10.692661200002476,None,2,0,1.3244803000015963,10.692661200002476,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,12.093375299999025,None,2,0,0.5243722999985039,12.093375299999025,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,12.693612099999882,None,1,0,0.36009829999966314,12.693612099999882,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,,,,,13.143871600001148,None,2,0,0.21701820000089356,13.143871600001148,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,,,,,13.444119499999942,None,3,0,0.11017179999907967,13.444119499999942,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,,,,,13.627406300001894,None,1,1,0.10810420000052545,13.627406300001894,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,,,,,13.810820900002,None,2,0,0.01387350000004517,13.810820900002,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,,,,,13.894191999999748,None,3,0,0.06176659999982803,13.894191999999748,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,,,,,14.027558900001168,None,1,0,0.3721378999980516,14.027558900001168,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,,,,,14.494497200001206,None,2,0,0.17839739999908488,14.494497200001206,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,14.744509399999515,None,3,0,0.14676789999793982,14.744509399999515,None,,,,,,,,001,2021_Oct_21_2251,TMTAB,2021.2.3,59.97868357632129,
