NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,NumberLetter,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,0,0,0,0,,,,,,10.148296700004721,None,10.148296700004721,None,10.990025999999489,None,1,1,1.0754767000034917,10.990025999999489,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,0,1,1,1,,,,,,,,,,12.182949299996835,None,2,1,0.8852761999878567,12.182949299996835,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,,13.167832200007979,None,2,0,1.2553728999919258,13.167832200007979,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,,14.530338399999891,None,2,0,1.827753899997333,14.530338399999891,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,,16.475776999999653,None,2,1,1.194820200005779,16.475776999999653,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,,17.76580599999579,None,2,0,0.5082938999985345,17.76580599999579,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,,18.377864399997634,None,2,1,0.3851602000067942,18.377864399997634,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,,18.870699100007187,None,2,0,0.2917509999970207,18.870699100007187,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,,19.265242800000124,None,2,1,0.2601028000062797,19.265242800000124,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,,19.62639059999492,None,2,0,0.21349829999962822,19.62639059999492,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,,19.946867100006784,None,2,1,0.2133052000135649,19.946867100006784,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,,20.251763799999026,None,2,0,0.17405760000110604,20.251763799999026,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,,20.556629300001077,None,2,0,0.09584840000024997,20.556629300001077,None,,,,001,2021_Oct_28_1622,TMTAB,2021.2.3,95.85577156277563,
,,,,,,,,,,,,,,,,,,,,,,,,,,20.672457199994824,None,,,,,,,
