Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-B_1_1.xlsx,0:26,1,['2'],2,TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,1,1,,,,,,,,,0,0,0,0,0,0,0,0,2,0,17.585428199963644,None,"['1', '2']",1,"[0.5138764998409897, 0.5899079998489469]",17.585428199963644,None,,001,2022_Feb_02_1551,TMTAB,2021.2.3,143.45802719841947,
TMTstop-B_1_1.xlsx,0:26,A,['1'],1,TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,1,2,,,,,,,,,0,0,0,0,0,1,1,1,2,0,18.25917679979466,None,"['3', '1']",1,"[0.018760500010102987, 0.17440390004776418]",18.25917679979466,None,,001,2022_Feb_02_1551,TMTAB,2021.2.3,143.45802719841947,
TMTstop-B_1_1.xlsx,0:26,2,['2'],2,TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,1,3,,,,,,,,,0,0,0,0,0,2,2,2,1,1,18.523182699922472,None,['2'],1,[-0.04429290001280606],18.523182699922472,None,,001,2022_Feb_02_1551,TMTAB,2021.2.3,143.45802719841947,
TMTstop-B_1_1.xlsx,0:26,B,['1'],1,TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,1,4,,,,,,,,,0,0,0,0,0,3,3,3,2,0,18.59941489994526,None,"['3', '1']",1,"[-0.0012254000175744295, 0.13243429991416633]",18.59941489994526,None,,001,2022_Feb_02_1551,TMTAB,2021.2.3,143.45802719841947,
TMTstop-B_1_1.xlsx,0:26,3,['3'],3,TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,1,5,,,,,,,,,0,0,0,0,0,4,4,4,2,0,18.843035199912265,None,"['2', '3']",1,"[-0.052847000071778893, 0.05772299994714558]",18.843035199912265,None,,001,2022_Feb_02_1551,TMTAB,2021.2.3,143.45802719841947,
TMTstop-B_1_1.xlsx,0:26,C,['2'],2,TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,1,6,,,,,,,,,0,0,0,0,0,5,5,5,2,0,19.002546799834818,None,"['1', '2']",1,"[0.058995299972593784, 0.09841610002331436]",19.002546799834818,None,,001,2022_Feb_02_1551,TMTAB,2021.2.3,143.45802719841947,
TMTstop-B_1_1.xlsx,0:26,4,['3'],3,TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,1,7,,,,,,,,,0,0,0,0,0,6,6,6,1,1,19.189648399828002,None,['3'],1,[0.04227559990249574],19.189648399828002,None,,001,2022_Feb_02_1551,TMTAB,2021.2.3,143.45802719841947,
TMTstop-B_1_1.xlsx,0:26,D,['1'],1,TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,1,8,,,,,,,,,0,0,0,0,0,7,7,7,1,1,19.32239819993265,None,['1'],1,[0.0446259998716414],19.32239819993265,None,,001,2022_Feb_02_1551,TMTAB,2021.2.3,143.45802719841947,
TMTstop-B_1_1.xlsx,0:26,5,['2'],2,TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,1,9,,,,,,,,,0,0,0,0,0,8,8,8,1,1,19.448798399884254,None,['2'],1,[-0.012152599869295955],19.448798399884254,None,,001,2022_Feb_02_1551,TMTAB,2021.2.3,143.45802719841947,
TMTstop-B_1_1.xlsx,0:26,E,['3'],3,TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,1,10,,,,,,,,,0,0,0,0,0,9,9,9,1,1,19.523864399874583,None,['3'],1,[0.03266739984974265],19.523864399874583,None,,001,2022_Feb_02_1551,TMTAB,2021.2.3,143.45802719841947,
