NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.325884399935603,None,13.098664899822325,None,3,1.059980999911204,13.098664899822325,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
1,['1'],TMTstop-B_1_practice.png,TMTstop-B_1_practice.png,TMTstop-B_1_practice.png,10,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14.181644500000402,None,17.284573099808767,None,1,1.1058849999681115,17.284573099808767,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
A,['3'],TMTstop-B_1_practice.png,TMTstop-B_1_practicefirstgreen.png,TMTstop-B_1_practicefirstred.png,10,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,18.518818399868906,None,3,0.9040886999573559,18.518818399868906,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
2,['1'],TMTstop-B_1_practicelinestimulus0.png,TMTstop-B_1_practicegreenlinestimulus0.png,TMTstop-B_1_practiceredlinestimulus0.png,10,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,19.55227499990724,None,1,0.006751099834218621,19.55227499990724,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
B,['2'],TMTstop-B_1_practicelinestimulus1.png,TMTstop-B_1_practicegreenlinestimulus1.png,TMTstop-B_1_practiceredlinestimulus1.png,10,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,19.652667499845847,None,2,0.0022368000354617834,19.652667499845847,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
3,['3'],TMTstop-B_1_practicelinestimulus2.png,TMTstop-B_1_practicegreenlinestimulus2.png,TMTstop-B_1_practiceredlinestimulus2.png,10,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,19.73584259999916,None,3,0.072710300097242,19.73584259999916,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
C,['1'],TMTstop-B_1_practicelinestimulus3.png,TMTstop-B_1_practicegreenlinestimulus3.png,TMTstop-B_1_practiceredlinestimulus3.png,10,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,19.90268089994788,None,1,0.028585900086909533,19.90268089994788,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
4,['2'],TMTstop-B_1_practicelinestimulus4.png,TMTstop-B_1_practicegreenlinestimulus4.png,TMTstop-B_1_practiceredlinestimulus4.png,10,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0194059999194,None,2,0.3281924999319017,20.0194059999194,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
D,['3'],TMTstop-B_1_practicelinestimulus5.png,TMTstop-B_1_practicegreenlinestimulus5.png,TMTstop-B_1_practiceredlinestimulus5.png,10,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,20.469550299923867,None,3,0.30468820012174547,20.469550299923867,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
5,['2'],TMTstop-B_1_practicelinestimulus6.png,TMTstop-B_1_practicegreenlinestimulus6.png,TMTstop-B_1_practiceredlinestimulus6.png,10,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,20.869818900013342,None,2,0.11745149991475046,20.869818900013342,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
