NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,10,0,0,0,0,,,,,6.030453099985607,None,6.030453099985607,None,6.523630399955437,None,"['1', '2']",1,"[0.2729884999571368, 0.401224400033243]",6.523630399955437,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
2,['1'],TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,10,0,1,1,1,,,,,,,,,7.023636099998839,None,"['3', '1']",1,"[-0.040995500050485134, 0.11191089998465031]",7.023636099998839,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
3,['2'],TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,7.225168999982998,None,['2'],1,[-0.02714470005594194],7.225168999982998,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
4,['3'],TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,7.308101399918087,None,['3'],1,[-0.021224999916739762],7.308101399918087,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
5,['2'],TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,7.384881099918857,None,"['1', '2']",1,"[0.016538200085051358, 0.0745077000465244]",7.384881099918857,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
6,['1'],TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,7.5659488999517635,None,"['3', '1']",1,"[-0.010730699985288084, 0.1136695999884978]",7.5659488999517635,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
7,['3'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,7.7672354999231175,None,"['2', '3']",1,"[-0.01609889999963343, 0.07272430008742958]",7.7672354999231175,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
8,['2'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,7.920068699982949,None,"['1', '2']",1,"[0.02876979997381568, 0.09233879996463656]",7.920068699982949,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
9,['3'],TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,8.114093699958175,None,['3'],1,[-0.008968599955551326],8.114093699958175,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
10,['2'],TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,8.191054999944754,None,"['1', '2']",1,"[0.04244800005108118, 0.11106010002549738]",8.191054999944754,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
11,['3'],TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,8.406207399908453,None,['3'],1,[0.0007270000642165542],8.406207399908453,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
12,['1'],TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,8.482730699935928,None,['1'],1,[0.04746460006572306],8.482730699935928,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
13,['3'],TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,8.61450409993995,None,"['2', '3']",1,"[-0.029600300011225045, 0.07576849998440593]",8.61450409993995,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
14,['1'],TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,None,0,13,13,13,,,,,,,,,8.781185199972242,None,['1'],1,[0.03208219993393868],8.781185199972242,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
15,['3'],TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,None,0,14,14,14,,,,,,,,,8.891979399952106,None,"['2', '3']",1,"[-0.007844600011594594, 0.09402059996500611]",8.891979399952106,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
16,['1'],TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,None,0,15,15,15,,,,,,,,,9.086739699938335,None,['1'],1,[0.032480800058692694],9.086739699938335,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
17,['2'],TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,9.19754879991524,None,['2'],1,[-0.018745800014585257],9.19754879991524,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
18,['1'],TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,9.281025199918076,None,"['3', '1']",1,"[0.011752700083889067, 0.12195090006571263]",9.281025199918076,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
19,['3'],TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,9.488856600015424,None,"['2', '3']",1,"[-0.01103360007982701, 0.11455219995696098]",9.488856600015424,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
20,['1'],TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,9.690947399940342,None,['1'],1,[0.0424212000798434],9.690947399940342,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
21,['3'],TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,9.815927399904467,None,"['2', '3']",1,"[-0.024468200048431754, 0.12706899992190301]",9.815927399904467,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
22,['1'],TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,None,0,21,21,21,,,,,,,,,10.016814099973999,None,['1'],1,[0.06363200000487268],10.016814099973999,None,,,,001,2021_Nov_03_1816,TMTAB,2021.2.3,143.10962925487243,
