NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,10,0,0,0,0,10.619408300030045,None,10.619408300030045,None,12.082640400039963,None,['2'],1,[0.33985330001451075],12.082640400039963,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
2,['1'],TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,10,0,1,1,1,,,,,12.51310010009911,None,"['3', '1']",1,"[0.10871259996201843, 0.29179139994084835]",12.51310010009911,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
3,['2'],TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,10,0,2,2,2,,,,,12.916297900024801,None,"['3', '2']",1,"[-0.01980869995895773, 0.0482916000764817]",12.916297900024801,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
4,['3'],TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,10,0,3,3,3,,,,,13.06920590007212,None,"['1', '3', '2', '1', '2', '3']",1,"[-0.006491200067102909, 0.10114839999005198, 0.11329969996586442, 0.2548442999832332, 0.3398903999477625, 0.34419710002839565]",13.06920590007212,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
5,['2'],TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,10,0,4,4,4,,,,,13.513445800053887,None,"['1', '3', '2']",1,"[0.05631000001449138, 0.15946029999759048, 0.16718430002219975]",13.513445800053887,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
6,['1'],TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,10,0,5,5,5,,,,,13.770256400108337,None,['1'],1,[0.061475499998778105],13.770256400108337,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
7,['3'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,10,0,6,6,6,,,,,13.90948690008372,None,"['3', '2', '1', '3']",1,"[0.019345799926668406, 0.027051399927586317, 0.19908169994596392, 0.30815549998078495]",13.90948690008372,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
8,['2'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,10,0,7,7,7,,,,,14.298358400003053,None,['2'],1,[-0.054167000111192465],14.298358400003053,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
9,['3'],TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,10,0,8,8,8,,,,,14.381326100090519,None,"['1', '3', '2', '1', '3', '2', '1', '3']",1,"[0.03629369998816401, 0.14270440000109375, 0.1565402999985963, 0.3248752999352291, 0.46561009995639324, 0.47820209991186857, 0.6400553999701515, 0.7584673999808729]",14.381326100090519,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
10,['2'],TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,10,0,9,9,9,,,,,15.22301190008875,None,['2'],1,[-0.040444000042043626],15.22301190008875,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
