NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,10,0,0,0,0,,,,,6.064688400016166,None,6.064688400016166,None,6.4524795999750495,None,"['1', '3', '1', '2']",1,"[0.21311589994002134, 0.3488727000076324, 0.47683969989884645, 0.5313969999551773]",6.4524795999750495,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
2,['1'],TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,10,0,1,1,1,,,,,,,,,7.071019900031388,None,"['3', '1', '2', '3', '1']",1,"[0.0050107999704778194, 0.14182090002577752, 0.17399280006065965, 0.27504269999917597, 0.40219819999765605]",7.071019900031388,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
3,['2'],TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,7.571534499991685,None,['2'],1,[-0.03907439997419715],7.571534499991685,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
4,['3'],TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,7.65413909999188,None,['3'],1,[-0.0483198999427259],7.65413909999188,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
5,['2'],TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,7.723756000050344,None,"['1', '2']",1,"[0.05801699997391552, 0.06953810004051775]",7.723756000050344,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
6,['1'],TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,7.862608100054786,None,"['3', '1']",1,"[0.10150999994948506, 0.21982989995740354]",7.862608100054786,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
7,['3'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,8.168204699992202,None,"['2', '3']",1,"[-0.03201919991988689, 0.046489100088365376]",8.168204699992202,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
8,['2'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,8.321002900018357,None,"['1', '2']",1,"[0.027260800008662045, 0.08652080001775175]",8.321002900018357,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
9,['3'],TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,8.501192299998365,None,['3'],1,[-0.016906199976801872],8.501192299998365,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
10,['2'],TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,8.572737700073048,None,"['1', '3', '2']",1,"[0.06194679997861385, 0.27676929999142885, 0.3209348999662325]",8.572737700073048,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
