NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,10,0,0,0,0,11.854130499996245,None,11.854130499996245,None,13.020728600095026,None,['2'],1,[1.379682100028731],13.020728600095026,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
2,['1'],TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,10,0,1,1,1,,,,,14.541544700041413,None,"['3', '1']",1,"[0.08703649998642504, 0.2338912000413984]",14.541544700041413,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
3,['2'],TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,10,0,2,2,2,,,,,14.950867900042795,None,['2'],1,[-0.022045899997465312],14.950867900042795,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
4,['3'],TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,10,0,3,3,3,,,,,15.08288270002231,None,['3'],1,[-0.05205060006119311],15.08288270002231,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
5,['2'],TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,10,0,4,4,4,,,,,15.216456900001504,None,"['1', '2']",1,"[0.1351761999540031, 0.16730560001451522]",15.216456900001504,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
6,['1'],TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,10,0,5,5,5,,,,,15.548962100059725,None,"['3', '1']",1,"[-0.05553090001922101, 0.10415370005648583]",15.548962100059725,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
7,['3'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,10,0,6,6,6,,,,,15.800188400084153,None,"['2', '3']",1,"[-0.08381320000626147, 0.011175899999216199]",15.800188400084153,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
8,['2'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,10,0,7,7,7,,,,,15.98680900002364,None,"['1', '2', '3', '1', '2']",1,"[-0.02710159996058792, 0.11924010002985597, 0.14047550002578646, 0.3055652000475675, 0.4081315000075847]",15.98680900002364,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
9,['3'],TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,10,0,8,8,8,,,,,16.555666800006293,None,['3'],1,[0.001040700008161366],16.555666800006293,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
10,['2'],TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,10,0,9,9,9,,,,,16.67322029999923,None,"['1', '2']",1,"[-0.04932809993624687, 0.03446920006535947]",16.67322029999923,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
11,['3'],TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,10,0,10,10,10,,,,,16.86824780004099,None,['3'],1,[-0.0734334000153467],16.86824780004099,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
12,['1'],TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,10,0,11,11,11,,,,,16.987744000041857,None,['1'],1,[-0.05774449999444187],16.987744000041857,None,,001,2021_Nov_03_2046,TMTAB,2021.2.3,None,
