NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,10,0,0,0,0,,,,,6.54207700000552,None,6.54207700000552,None,7.548443099993165,None,['2'],1,[1.3972207000042545],7.548443099993165,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
2,['1'],TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,10,0,1,1,1,,,,,,,,,9.034816999992472,None,['1'],1,[0.6651291000016499],9.034816999992472,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
3,['2'],TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,9.771069700000226,None,['2'],1,[0.26416900000185706],9.771069700000226,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
4,['3'],TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,10.10433240000566,None,['3'],1,[0.2139368999924045],10.10433240000566,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
5,['2'],TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,10.403582200000528,None,"['1', '2']",1,"[0.0890306000073906, 0.1867952000029618]",10.403582200000528,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
6,['1'],TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,10.701245000003837,None,"['3', '1']",1,"[0.014597999994293787, 0.16788540000561625]",10.701245000003837,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
7,['3'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,10.965465300003416,None,"['2', '3']",1,"[-0.044977199999266304, 0.12401749999844469]",10.965465300003416,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
8,['2'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,11.160328600002686,None,"['1', '2']",1,"[0.10816089999570977, 0.1887847000034526]",11.160328600002686,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
9,['3'],TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,11.430593600001885,None,['3'],1,[0.08280160000140313],11.430593600001885,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
10,['2'],TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,11.583464499999536,None,"['1', '2']",1,"[0.08975270000519231, 0.15441430000646506]",11.583464499999536,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
11,['3'],TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,11.826474599991343,None,['3'],1,[0.04273709999688435],11.826474599991343,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
12,['1'],TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,11.95155589999922,None,['1'],1,[0.08569290000014007],11.95155589999922,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
13,['3'],TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,12.118263199998182,None,"['2', '3']",1,"[-0.020716700004413724, 0.10085899999830872]",12.118263199998182,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
14,['1'],TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,None,0,13,13,13,,,,,,,,,12.312632100001792,None,['1'],1,[0.06860020000021905],12.312632100001792,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
15,['3'],TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,None,0,14,14,14,,,,,,,,,12.458355199996731,None,"['2', '3']",1,"[0.004811199993127957, 0.1273626000038348]",12.458355199996731,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
16,['1'],TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,None,0,15,15,15,,,,,,,,,12.666489399998682,None,['1'],1,[0.0683504000044195],12.666489399998682,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
17,['2'],TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,12.805670000001555,None,['2'],1,[0.007697699998971075],12.805670000001555,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
18,['1'],TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,12.889005000004545,None,"['3', '1']",1,"[0.06124900000577327, 0.23949209999409504]",12.889005000004545,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
19,['3'],TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,13.236269300003187,None,"['2', '3']",1,"[-0.0260466999898199, 0.08301940000092145]",13.236269300003187,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
20,['1'],TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,13.388730899998336,None,['1'],1,[0.11697479999565985],13.388730899998336,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
21,['3'],TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,13.576342799991835,None,"['2', '3']",1,"[-0.036389800006872974, 0.12755799999285955]",13.576342799991835,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
