NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,10,0,0,0,0,,,,,,,,,5.891201200007345,None,5.891201200007345,None,6.670339400006924,None,"['1', '2']",1,"[0.5819208000029903, 0.6987150999921141]",6.670339400006924,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
2,['1'],TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,10,0,1,1,1,,,,,,,,,,,,,7.474766900006216,None,"['3', '1']",1,"[0.0006735000060871243, 0.19754249999823514]",7.474766900006216,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
3,['2'],TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,,,,,7.7528229000017745,None,['2'],1,[-0.035739099999773316],7.7528229000017745,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
4,['3'],TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,,,,,7.828823500007275,None,['3'],1,[0.02661489999445621],7.828823500007275,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
5,['2'],TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,,,,,7.933197200007271,None,"['1', '2']",1,"[0.05766900000162423, 0.11848689999897033]",7.933197200007271,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
6,['1'],TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,,,,,8.155632000009064,None,"['3', '1']",1,"[0.03311269999539945, 0.16377129999455065]",8.155632000009064,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
7,['3'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,,,,,8.391473000010592,None,"['2', '3']",1,"[0.05649240000639111, 0.1712130999949295]",8.391473000010592,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
8,['2'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,,,,,8.648600600005011,None,"['1', '2']",1,"[0.055697000003419816, 0.12352839999948628]",8.648600600005011,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
9,['3'],TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,,,,,8.856930000009015,None,['3'],1,[0.04490829999849666],8.856930000009015,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
10,['2'],TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,,,,,8.974861100010457,None,"['1', '2']",1,"[0.0674317999946652, 0.13941849999537226]",8.974861100010457,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
11,['3'],TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,,,,,9.204726100011612,None,['3'],1,[0.05299020001257304],9.204726100011612,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
12,['1'],TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,,,,,9.336119300001883,None,['1'],1,[0.046957800004747696],9.336119300001883,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
13,['3'],TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,,,,,9.460885200009216,None,"['2', '3']",1,"[0.012245699996128678, 0.12774729999364354]",9.460885200009216,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
14,['1'],TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,None,0,13,13,13,,,,,,,,,,,,,9.669445800012909,None,['1'],1,[0.05651310000394005],9.669445800012909,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
15,['3'],TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,None,0,14,14,14,,,,,,,,,,,,,9.808276800002204,None,"['2', '3']",1,"[0.00529820000519976, 0.1274344999983441]",9.808276800002204,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
16,['1'],TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,None,0,15,15,15,,,,,,,,,,,,,10.016388300005929,None,['1'],1,[0.1023540000023786],10.016388300005929,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
17,['2'],TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,,,,,10.197052400006214,None,['2'],1,[-0.008114600001135841],10.197052400006214,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
18,['1'],TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,,,,,10.273614700010512,None,"['3', '1']",1,"[0.04489449999528006, 0.22302279999712482]",10.273614700010512,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
19,['3'],TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,,,,,10.565251200008788,None,"['2', '3']",1,"[0.005492099997354671, 0.1463075000065146]",10.565251200008788,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
20,['1'],TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,,,,,10.815030400000978,None,['1'],1,[0.02494740000111051],10.815030400000978,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
21,['3'],TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,,,,,10.912163900007727,None,"['2', '3']",1,"[-0.0069438999926205724, 0.1388106000085827]",10.912163900007727,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
22,['1'],TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,None,0,21,21,21,,,,,,,,,,,,,11.148439399999916,None,['1'],1,[0.2816650999884587],11.148439399999916,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
23,['3'],TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,None,0,22,22,22,,,,,,,,,,,,,11.502702800004045,None,"['2', '3']",1,"[0.029255500005092472, 0.15537920000497252]",11.502702800004045,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
24,['1'],TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,None,0,23,23,23,,,,,,,,,,,,,11.738761000000522,None,['1'],1,[0.24267590000818018],11.738761000000522,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
25,['3'],TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,None,0,24,24,24,,,,,,,,,,,,,12.05137930001365,None,"['2', '3']",1,"[-0.03445550000469666, 1.0356698999967193]",12.05137930001365,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,None,0,25,25,25,,,,,,,,,,,,,13.162323100012145,None,None,1,,13.162323100012145,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
A,['3'],TMTstop-control_1_a.png,TMTstop-control_1_a.png,TMTstop-control_1_a.png,10,,,,,0,0,0,0,,,,,,,,,17.23843380001199,None,"['1', '3']",1,"[0.5358984000049531, 0.7083528000075603]",17.23843380001199,None,14.173712100004195,None,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
B,['1'],TMTstop-control_1_a.png,TMTstop-control_1_afirstgreen.png,TMTstop-control_1_afirstred.png,10,,,,,0,1,1,1,,,,,,,,,18.016739400001825,None,['1'],1,[0.08858490000420716],18.016739400001825,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
C,['3'],TMTstop-control_1_alinestimulus0.png,TMTstop-control_1_agreenlinestimulus0.png,TMTstop-control_1_aredlinestimulus0.png,10,,,,,0,2,2,2,,,,,,,,,18.176205400013714,None,"['2', '3']",1,"[0.0162348000012571, 0.12131310001132078]",18.176205400013714,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
D,['2'],TMTstop-control_1_alinestimulus1.png,TMTstop-control_1_agreenlinestimulus1.png,TMTstop-control_1_aredlinestimulus1.png,10,,,,,0,3,3,3,,,,,,,,,18.398531400001957,None,"['1', '2']",1,"[0.09558380000817124, 0.16036530000565108]",18.398531400001957,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
E,['1'],TMTstop-control_1_alinestimulus2.png,TMTstop-control_1_agreenlinestimulus2.png,TMTstop-control_1_aredlinestimulus2.png,10,,,,,0,4,4,4,,,,,,,,,18.65543520000938,None,"['3', '1']",1,"[0.021738299998105504, 0.1572081999911461]",18.65543520000938,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
F,['3'],TMTstop-control_1_alinestimulus3.png,TMTstop-control_1_agreenlinestimulus3.png,TMTstop-control_1_aredlinestimulus3.png,10,,,,,0,5,5,5,,,,,,,,,18.912062300005346,None,"['2', '3']",1,"[-0.04364620000706054, 0.06540910000330769]",18.912062300005346,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
G,['2'],TMTstop-control_1_alinestimulus4.png,TMTstop-control_1_agreenlinestimulus4.png,TMTstop-control_1_aredlinestimulus4.png,10,,,,,0,6,6,6,,,,,,,,,19.057976600000984,None,"['1', '2']",1,"[0.05113770000752993, 0.1268024000019068]",19.057976600000984,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
H,['3'],TMTstop-control_1_alinestimulus5.png,TMTstop-control_1_agreenlinestimulus5.png,TMTstop-control_1_aredlinestimulus5.png,10,,,,,0,7,7,7,,,,,,,,,19.25933650000661,None,['3'],1,[0.037795600001118146],19.25933650000661,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
I,['1'],TMTstop-control_1_alinestimulus6.png,TMTstop-control_1_agreenlinestimulus6.png,TMTstop-control_1_aredlinestimulus6.png,10,,,,,0,8,8,8,,,,,,,,,19.370623400012846,None,['1'],1,[0.0637025000032736],19.370623400012846,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
J,['2'],TMTstop-control_1_alinestimulus7.png,TMTstop-control_1_agreenlinestimulus7.png,TMTstop-control_1_aredlinestimulus7.png,10,,,,,0,9,9,9,,,,,,,,,19.509352200009744,None,['2'],1,[-0.024819400001433678],19.509352200009744,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
K,['3'],TMTstop-control_1_alinestimulus8.png,TMTstop-control_1_agreenlinestimulus8.png,TMTstop-control_1_aredlinestimulus8.png,10,,,,,0,10,10,10,,,,,,,,,19.578956500001368,None,['3'],1,[0.03324500001326669],19.578956500001368,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
L,['1'],TMTstop-control_1_alinestimulus9.png,TMTstop-control_1_agreenlinestimulus9.png,TMTstop-control_1_aredlinestimulus9.png,10,,,,,0,11,11,11,,,,,,,,,19.68992760000401,None,['1'],1,[0.07886839999991935],19.68992760000401,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
M,['3'],TMTstop-control_1_alinestimulus10.png,TMTstop-control_1_agreenlinestimulus10.png,TMTstop-control_1_aredlinestimulus10.png,1,,,,,0,12,12,12,,,,,,,,,19.849825100012822,None,"['2', '3']",1,"[-0.012840900002629496, 0.11064399998576846]",19.849825100012822,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
N,['2'],TMTstop-control_1_alinestimulus11.png,TMTstop-control_1_agreenlinestimulus11.png,TMTstop-control_1_aredlinestimulus11.png,None,,,,,0,13,13,13,,,,,,,,,20.044171200002893,None,"['1', '2']",1,"[0.05200580001110211, 0.18038720000186004]",20.044171200002893,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
O,['1'],TMTstop-control_1_alinestimulus12.png,TMTstop-control_1_agreenlinestimulus12.png,TMTstop-control_1_aredlinestimulus12.png,None,,,,,0,14,14,14,,,,,,,,,20.294125300002634,None,"['3', '1']",1,"[-0.005551900001592003, 0.12196770000446122]",20.294125300002634,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
P,['3'],TMTstop-control_1_alinestimulus13.png,TMTstop-control_1_agreenlinestimulus13.png,TMTstop-control_1_aredlinestimulus13.png,None,,,,,0,15,15,15,,,,,,,,,20.51621350001369,None,"['2', '3']",1,"[-0.022882000004756264, 0.10433810000540689]",20.51621350001369,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
Q,['2'],TMTstop-control_1_alinestimulus14.png,TMTstop-control_1_agreenlinestimulus14.png,TMTstop-control_1_aredlinestimulus14.png,None,,,,,0,16,16,16,,,,,,,,,20.710954700000002,None,"['1', '2']",1,"[0.05789980001281947, 0.12093580000509974]",20.710954700000002,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
R,['3'],TMTstop-control_1_alinestimulus15.png,TMTstop-control_1_agreenlinestimulus15.png,TMTstop-control_1_aredlinestimulus15.png,None,,,,,0,17,17,17,,,,,,,,,20.919246700010262,None,['3'],1,[0.05003559999749996],20.919246700010262,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
S,['2'],TMTstop-control_1_alinestimulus16.png,TMTstop-control_1_agreenlinestimulus16.png,TMTstop-control_1_aredlinestimulus16.png,None,,,,,0,18,18,18,,,,,,,,,21.05126230001042,None,"['1', '2']",1,"[0.07547080000222195, 0.21388030001253355]",21.05126230001042,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
T,['1'],TMTstop-control_1_alinestimulus17.png,TMTstop-control_1_agreenlinestimulus17.png,TMTstop-control_1_aredlinestimulus17.png,None,,,,,0,19,19,19,,,,,,,,,21.35662350000348,None,"['3', '1']",1,"[-0.005594799993559718, 0.14566510000440758]",21.35662350000348,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
