NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,6.722669199996744,None,6.722669199996744,7.734518599987496,10.394445499987341,None,z,1.487745000005816,10.394445499987341,None,,,,,,,,,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
1,['1'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,11.900306899988209,None,14.94425929999852,None,1,1.9833088000013959,14.94425929999852,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
2,['2'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practicefirstgreen.png,TMTstop-Control_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,17.013409699997283,None,2,0.05049500000313856,17.013409699997283,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
3,['3'],TMTstop-Control_1_practicelinestimulus0.png,TMTstop-Control_1_practicegreenlinestimulus0.png,TMTstop-Control_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,17.138759699999355,None,3,0.2829128000012133,17.138759699999355,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
4,['1'],TMTstop-Control_1_practicelinestimulus1.png,TMTstop-Control_1_practicegreenlinestimulus1.png,TMTstop-Control_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,17.534239199987496,None,1,0.2981285999994725,17.534239199987496,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
5,['2'],TMTstop-Control_1_practicelinestimulus2.png,TMTstop-Control_1_practicegreenlinestimulus2.png,TMTstop-Control_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,17.93716219998896,None,2,0.25285320001421496,17.93716219998896,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
6,['3'],TMTstop-Control_1_practicelinestimulus3.png,TMTstop-Control_1_practicegreenlinestimulus3.png,TMTstop-Control_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,18.28455149999354,None,3,0.3022787000081735,18.28455149999354,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
7,['1'],TMTstop-Control_1_practicelinestimulus4.png,TMTstop-Control_1_practicegreenlinestimulus4.png,TMTstop-Control_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,18.687282599988976,None,1,0.026303100006771274,18.687282599988976,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
8,['3'],TMTstop-Control_1_practicelinestimulus5.png,TMTstop-Control_1_practicegreenlinestimulus5.png,TMTstop-Control_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,18.784551599994302,None,3,0.11214270000346005,18.784551599994302,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
9,['2'],TMTstop-Control_1_practicelinestimulus6.png,TMTstop-Control_1_practicegreenlinestimulus6.png,TMTstop-Control_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,18.97195579999243,None,2,0.10243349999655038,18.97195579999243,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
10,['3'],TMTstop-Control_1_practicelinestimulus7.png,TMTstop-Control_1_practicegreenlinestimulus7.png,TMTstop-Control_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,19.16653829999268,None,3,0.022658600006252527,19.16653829999268,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
11,['1'],TMTstop-Control_1_practicelinestimulus8.png,TMTstop-Control_1_practicegreenlinestimulus8.png,TMTstop-Control_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,19.263689200000954,None,1,0.04437160000088625,19.263689200000954,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
12,['2'],TMTstop-Control_1_practicelinestimulus9.png,TMTstop-Control_1_practicegreenlinestimulus9.png,TMTstop-Control_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,19.388566800000262,None,2,0.5801778999884846,19.388566800000262,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
None,None,TMTstop-Control_1_practicelinestimulus10.png,TMTstop-Control_1_practicegreenlinestimulus10.png,TMTstop-Control_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,20.06215839998913,None,None,,20.06215839998913,None,,001,2021_Nov_17_1452,TMTAB,2021.2.3,144.55191075830018,
