NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.361722000001464,None,6.861792600000626,None,2,0.36019749999104533,6.861792600000626,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
1,['2'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.246515699996962,None,10.286550999997417,None,2,0.6830916999897454,10.286550999997417,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
2,['3'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practicefirstgreen.png,TMTstop-Control_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.051120599993737,None,3,0.21587619998899754,11.051120599993737,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
3,['2'],TMTstop-Control_1_practicelinestimulus0.png,TMTstop-Control_1_practicegreenlinestimulus0.png,TMTstop-Control_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.34947459999239,None,2,0.19085670000640675,11.34947459999239,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
4,['1'],TMTstop-Control_1_practicelinestimulus1.png,TMTstop-Control_1_practicegreenlinestimulus1.png,TMTstop-Control_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.620024499992724,None,1,0.1566883999912534,11.620024499992724,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
5,['2'],TMTstop-Control_1_practicelinestimulus2.png,TMTstop-Control_1_practicegreenlinestimulus2.png,TMTstop-Control_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.863001999998232,None,2,0.003983700007665902,11.863001999998232,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
6,['1'],TMTstop-Control_1_practicelinestimulus3.png,TMTstop-Control_1_practicegreenlinestimulus3.png,TMTstop-Control_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.94687580000027,None,1,0.13947160000680014,11.94687580000027,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
7,['2'],TMTstop-Control_1_practicelinestimulus4.png,TMTstop-Control_1_practicegreenlinestimulus4.png,TMTstop-Control_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.197241300003952,None,2,0.2506520000024466,12.197241300003952,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
8,['1'],TMTstop-Control_1_practicelinestimulus5.png,TMTstop-Control_1_practicegreenlinestimulus5.png,TMTstop-Control_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.529953200006275,None,1,0.1403062999888789,12.529953200006275,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
9,['3'],TMTstop-Control_1_practicelinestimulus6.png,TMTstop-Control_1_practicegreenlinestimulus6.png,TMTstop-Control_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.759154400002444,None,3,0.08587869998882525,12.759154400002444,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
10,['1'],TMTstop-Control_1_practicelinestimulus7.png,TMTstop-Control_1_practicegreenlinestimulus7.png,TMTstop-Control_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.925803199992515,None,1,0.05255439999746159,12.925803199992515,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
11,['3'],TMTstop-Control_1_practicelinestimulus8.png,TMTstop-Control_1_practicegreenlinestimulus8.png,TMTstop-Control_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.050743800005876,None,3,0.1137458000011975,13.050743800005876,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
12,['1'],TMTstop-Control_1_practicelinestimulus9.png,TMTstop-Control_1_practicegreenlinestimulus9.png,TMTstop-Control_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.251863199999207,None,1,0.023578100008307956,13.251863199999207,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
None,None,TMTstop-Control_1_practicelinestimulus10.png,TMTstop-Control_1_practicegreenlinestimulus10.png,TMTstop-Control_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.349414800002705,None,2,0.012010399994323961,13.349414800002705,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4371775000036,None,x,2.679155699996045,14.4371775000036,None,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
1,['2'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,10,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.168369499995606,None,2,1.2736080000031507,17.168369499995606,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
2,['3'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practicefirstgreen.png,TMTstop-Control_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.523635699995793,None,3,0.243376200000057,18.523635699995793,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
3,['2'],TMTstop-Control_1_practicelinestimulus0.png,TMTstop-Control_1_practicegreenlinestimulus0.png,TMTstop-Control_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8350894000032,None,2,0.5943411999905948,18.8350894000032,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
4,['1'],TMTstop-Control_1_practicelinestimulus1.png,TMTstop-Control_1_practicegreenlinestimulus1.png,TMTstop-Control_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.501931499995408,None,1,2.164972200000193,19.501931499995408,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.68702850000409,None,1,1.56512160001148,21.68702850000409,None,,,,,,,,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
1,['2'],TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,10,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.270396599997184,None,,,,,,,,,,,,,26.314025200001197,None,"['1', '2']",1,"[1.9198689999902854, 2.2458825999929104]",26.314025200001197,None,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
2,['1'],TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.661227100004908,None,"['3', '1']",1,"[0.20539459999417886, 0.35351319999608677]",28.661227100004908,None,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
3,['2'],TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1200189999945,None,['2'],1,[-0.023091999988537282],29.1200189999945,None,,,,001,2021_Nov_17_1507,TMTAB,2021.2.3,144.07976256678637,
