NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,6.866537599999901,None,6.866537599999901,None,8.407392500000242,None,2,1,1.185424199999943,8.407392500000242,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,9.674130700000205,None,3,1,0.6069646000005378,9.674130700000205,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,10.37442960000044,None,1,1,1.4389069000008021,10.37442960000044,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,11.908535700000357,None,2,1,0.5026377999993201,11.908535700000357,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,,,,,12.50871989999996,None,3,1,0.38068249999923864,12.50871989999996,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,,,,,12.975621399999909,None,2,1,0.2384766999994099,12.975621399999909,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,,,,,13.309030899999925,None,1,1,0.05718680000063614,13.309030899999925,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,,,,,13.459197000000131,None,3,1,0.06776519999948505,13.459197000000131,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,,,,,13.625987899999927,None,1,1,1.0520791999997527,13.625987899999927,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,,,,,14.77645400000074,None,2,1,0.7483747000005678,14.77645400000074,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,,,,,15.610231600000589,None,1,1,0.8141572000004089,15.610231600000589,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,16.510663300000488,None,2,1,0.9230914999998276,16.510663300000488,None,,,,,,,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
,,,,,,,,,,,,,,,,,,,,,,,,17.46113289999994,None,escape,1.3324914000004355,17.46113289999994,None,,001,2021_Oct_21_1802,TMTAB,2021.2.3,59.97300015504792,
,,,,,,,,,,,,,18.811706200000117,None,18.811706200000117,None,,,,,,,,,,,,,,,,,,,,
