NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,11.059721700148657,None,14.66206380003132,None,2,0.4138793000020087,14.66206380003132,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
1,['2'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,15.101142300060019,None,18.12899770005606,None,2,1.7973951001185924,18.12899770005606,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
2,['3'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practicefirstgreen.png,TMTstop-Control_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,20.004885600181296,None,3,0.29509379994124174,20.004885600181296,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
3,['2'],TMTstop-Control_1_practicelinestimulus0.png,TMTstop-Control_1_practicegreenlinestimulus0.png,TMTstop-Control_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,20.371998900081962,None,2,0.5051363999955356,20.371998900081962,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
4,['1'],TMTstop-Control_1_practicelinestimulus1.png,TMTstop-Control_1_practicegreenlinestimulus1.png,TMTstop-Control_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,20.94819250004366,None,1,0.6869210998993367,20.94819250004366,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
5,['2'],TMTstop-Control_1_practicelinestimulus2.png,TMTstop-Control_1_practicegreenlinestimulus2.png,TMTstop-Control_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,21.705777100054547,None,2,0.4241591999307275,21.705777100054547,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
6,['1'],TMTstop-Control_1_practicelinestimulus3.png,TMTstop-Control_1_practicegreenlinestimulus3.png,TMTstop-Control_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,22.227446900215,None,1,0.8261990998871624,22.227446900215,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
7,['2'],TMTstop-Control_1_practicelinestimulus4.png,TMTstop-Control_1_practicegreenlinestimulus4.png,TMTstop-Control_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,23.121741800103337,None,2,0.5046001998707652,23.121741800103337,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
8,['1'],TMTstop-Control_1_practicelinestimulus5.png,TMTstop-Control_1_practicegreenlinestimulus5.png,TMTstop-Control_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,23.69875070010312,None,1,0.7167374999262393,23.69875070010312,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
9,['3'],TMTstop-Control_1_practicelinestimulus6.png,TMTstop-Control_1_practicegreenlinestimulus6.png,TMTstop-Control_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,24.489890200085938,None,3,0.5726734998170286,24.489890200085938,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
10,['1'],TMTstop-Control_1_practicelinestimulus7.png,TMTstop-Control_1_practicegreenlinestimulus7.png,TMTstop-Control_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,25.135613800026476,None,1,0.7017073000315577,25.135613800026476,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
11,['3'],TMTstop-Control_1_practicelinestimulus8.png,TMTstop-Control_1_practicegreenlinestimulus8.png,TMTstop-Control_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,25.920198500156403,None,3,0.9511448000557721,25.920198500156403,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
12,['1'],TMTstop-Control_1_practicelinestimulus9.png,TMTstop-Control_1_practicegreenlinestimulus9.png,TMTstop-Control_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,26.96212760009803,None,1,0.5482365998905152,26.96212760009803,None,,,,,,,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
